tMillis,ax,ay,az,gx,gy,gz
1295489,-0.0467529296875,-0.2225341796875,-0.95556640625,0.7324218153953552,-0.30517578125,0.2441406100988388
1295505,-0.045166015625,-0.2218017578125,-0.9560546875,0.6713866591453552,-0.3662109076976776,0.2441406100988388
1295522,-0.044921875,-0.221435546875,-0.9542236328125,0.7324218153953552,-0.2441406100988388,0.30517578125
1295543,-0.046630859375,-0.2210693359375,-0.955322265625,0.7934569716453552,-0.1831054538488388,0.2441406100988388
1295559,-0.0467529296875,-0.2216796875,-0.9534912109375,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1295580,-0.0467529296875,-0.221923828125,-0.9544677734375,0.6713866591453552,-0.30517578125,0.1831054538488388
1295597,-0.0458984375,-0.22216796875,-0.956787109375,0.7324218153953552,-0.1831054538488388,0.2441406100988388
1295617,-0.0460205078125,-0.222900390625,-0.9547119140625,0.7324218153953552,-0.2441406100988388,0.1831054538488388
1295647,-0.046630859375,-0.221435546875,-0.9556884765625,0.7324218153953552,-0.2441406100988388,0.30517578125
1295668,-0.0460205078125,-0.221923828125,-0.956298828125,0.7324218153953552,-0.30517578125,0.30517578125
1295684,-0.04541015625,-0.2220458984375,-0.95458984375,0.7324218153953552,-0.30517578125,0.30517578125
1295701,-0.0452880859375,-0.2208251953125,-0.953369140625,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1295767,-0.0462646484375,-0.221923828125,-0.9556884765625,0.7324218153953552,-0.2441406100988388,0.30517578125
1295783,-0.04638671875,-0.2225341796875,-0.9560546875,0.6713866591453552,-0.2441406100988388,0.30517578125
1295799,-0.04541015625,-0.222412109375,-0.9566650390625,0.7324218153953552,-0.30517578125,0.30517578125
1295831,-0.0457763671875,-0.2210693359375,-0.9544677734375,0.7934569716453552,-0.2441406100988388,0.30517578125
1295863,-0.045654296875,-0.2215576171875,-0.954833984375,0.6713866591453552,-0.30517578125,0.2441406100988388
1295905,-0.046630859375,-0.22119140625,-0.954833984375,0.7324218153953552,-0.2441406100988388,0.1831054538488388
1295922,-0.046142578125,-0.2220458984375,-0.9559326171875,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1295939,-0.0458984375,-0.22119140625,-0.9554443359375,0.7324218153953552,-0.2441406100988388,0.30517578125
1295956,-0.0465087890625,-0.2208251953125,-0.9564208984375,0.7934569716453552,-0.30517578125,0.2441406100988388
1295972,-0.046142578125,-0.2208251953125,-0.957275390625,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1296005,-0.0455322265625,-0.221435546875,-0.95458984375,0.6713866591453552,-0.30517578125,0.30517578125
1296021,-0.046630859375,-0.2216796875,-0.955322265625,0.7324218153953552,-0.30517578125,0.2441406100988388
1296037,-0.046142578125,-0.2220458984375,-0.957275390625,0.6713866591453552,-0.2441406100988388,0.2441406100988388
1296067,-0.046142578125,-0.22119140625,-0.95361328125,0.6713866591453552,-0.30517578125,0.1831054538488388
1296088,-0.0460205078125,-0.221435546875,-0.9552001953125,0.6713866591453552,-0.30517578125,0.2441406100988388
1296104,-0.0457763671875,-0.2213134765625,-0.9561767578125,0.7324218153953552,-0.2441406100988388,0.30517578125
1296121,-0.0458984375,-0.2220458984375,-0.9564208984375,0.7324218153953552,-0.2441406100988388,0.30517578125
1296138,-0.045654296875,-0.22119140625,-0.9552001953125,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1296154,-0.0452880859375,-0.2203369140625,-0.955078125,0.6713866591453552,-0.30517578125,0.30517578125
1296188,-0.0457763671875,-0.2210693359375,-0.9559326171875,0.6713866591453552,-0.30517578125,0.30517578125
1296255,-0.0462646484375,-0.2222900390625,-0.9547119140625,0.7324218153953552,-0.2441406100988388,0.30517578125
1296277,-0.046630859375,-0.2218017578125,-0.95361328125,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1296293,-0.046142578125,-0.2210693359375,-0.95703125,0.7324218153953552,-0.2441406100988388,0.30517578125
1296313,-0.0450439453125,-0.221923828125,-0.9556884765625,0.7324218153953552,-0.2441406100988388,0.30517578125
1296363,-0.044921875,-0.2210693359375,-0.9552001953125,0.7324218153953552,-0.30517578125,0.2441406100988388
1296386,-0.0467529296875,-0.221435546875,-0.955078125,0.7324218153953552,-0.30517578125,0.2441406100988388
1296403,-0.0457763671875,-0.220458984375,-0.954345703125,0.7324218153953552,-0.30517578125,0.2441406100988388
1296420,-0.045654296875,-0.222900390625,-0.95654296875,0.7934569716453552,-0.30517578125,0.2441406100988388
1296436,-0.0457763671875,-0.2230224609375,-0.956298828125,0.7934569716453552,-0.30517578125,0.2441406100988388
1296453,-0.04638671875,-0.22216796875,-0.9561767578125,0.7324218153953552,-0.30517578125,0.2441406100988388
1296486,-0.044921875,-0.2216796875,-0.955810546875,0.7934569716453552,-0.30517578125,0.2441406100988388
1296502,-0.04541015625,-0.221923828125,-0.9552001953125,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1296518,-0.046630859375,-0.22119140625,-0.95556640625,0.7324218153953552,-0.2441406100988388,0.1831054538488388
1296547,-0.04638671875,-0.221435546875,-0.9560546875,0.7934569716453552,-0.30517578125,0.2441406100988388
1296569,-0.04638671875,-0.22119140625,-0.95703125,0.7324218153953552,-0.30517578125,0.2441406100988388
1296585,-0.0458984375,-0.22216796875,-0.955322265625,0.7324218153953552,-0.2441406100988388,0.30517578125
1296602,-0.0458984375,-0.22265625,-0.9564208984375,0.7324218153953552,-0.2441406100988388,0.30517578125
1296619,-0.0477294921875,-0.2215576171875,-0.9556884765625,0.6713866591453552,-0.30517578125,0.2441406100988388
1296635,-0.0477294921875,-0.220947265625,-0.955322265625,0.7324218153953552,-0.30517578125,0.2441406100988388
1296666,-0.0462646484375,-0.2220458984375,-0.957275390625,0.7324218153953552,-0.2441406100988388,0.30517578125
1296688,-0.046875,-0.2222900390625,-0.9569091796875,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1296704,-0.0469970703125,-0.2222900390625,-0.9554443359375,0.7324218153953552,-0.30517578125,0.2441406100988388
1296721,-0.0465087890625,-0.2215576171875,-0.9560546875,0.6713866591453552,-0.2441406100988388,0.30517578125
1296738,-0.0458984375,-0.220947265625,-0.9542236328125,0.7324218153953552,-0.30517578125,0.2441406100988388
1296754,-0.04541015625,-0.2200927734375,-0.9560546875,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1296787,-0.0472412109375,-0.2218017578125,-0.9547119140625,0.7934569716453552,-0.3662109076976776,0.30517578125
1296809,-0.0462646484375,-0.2213134765625,-0.9554443359375,0.7934569716453552,-0.30517578125,0.30517578125
1296845,-0.0462646484375,-0.2216796875,-0.9571533203125,0.7324218153953552,-0.30517578125,0.2441406100988388
1296866,-0.0457763671875,-0.22216796875,-0.956787109375,0.7934569716453552,-0.30517578125,0.2441406100988388
1296887,-0.0465087890625,-0.22021484375,-0.9530029296875,0.7324218153953552,-0.30517578125,0.3662109076976776
1296903,-0.04541015625,-0.2222900390625,-0.9560546875,0.7324218153953552,-0.30517578125,0.30517578125
1296924,-0.04541015625,-0.2220458984375,-0.95751953125,0.6713866591453552,-0.2441406100988388,0.2441406100988388
1296941,-0.046142578125,-0.2213134765625,-0.9554443359375,0.7324218153953552,-0.30517578125,0.30517578125
1296957,-0.046142578125,-0.22119140625,-0.955322265625,0.7324218153953552,-0.30517578125,0.30517578125
1296977,-0.0457763671875,-0.221435546875,-0.95654296875,0.6713866591453552,-0.30517578125,0.2441406100988388
1296999,-0.0458984375,-0.2222900390625,-0.95703125,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1297015,-0.046630859375,-0.221923828125,-0.9560546875,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1297033,-0.0465087890625,-0.221923828125,-0.953369140625,0.7324218153953552,-0.30517578125,0.2441406100988388
1297050,-0.0450439453125,-0.22265625,-0.9552001953125,0.7934569716453552,-0.2441406100988388,0.1831054538488388
1297083,-0.0472412109375,-0.219970703125,-0.955322265625,0.7934569716453552,-0.30517578125,0.2441406100988388
1297100,-0.0458984375,-0.221923828125,-0.9569091796875,0.7934569716453552,-0.2441406100988388,0.1831054538488388
1297116,-0.04638671875,-0.2227783203125,-0.955810546875,0.7324218153953552,-0.2441406100988388,0.1831054538488388
1297147,-0.0462646484375,-0.221923828125,-0.955078125,0.7324218153953552,-0.30517578125,0.2441406100988388
1297168,-0.046630859375,-0.2218017578125,-0.955810546875,0.7324218153953552,-0.2441406100988388,0.30517578125
1297185,-0.047119140625,-0.221923828125,-0.9560546875,0.7324218153953552,-0.30517578125,0.30517578125
1297202,-0.04541015625,-0.2213134765625,-0.95654296875,0.7324218153953552,-0.2441406100988388,0.2441406100988388
1297219,-0.045166015625,-0.2218017578125,-0.95556640625,0.7324218153953552,-0.2441406100988388,0.30517578125
1297235,-0.04736328125,-0.2215576171875,-0.9566650390625,0.6713866591453552,-0.2441406100988388,0.30517578125
1297267,-0.0462646484375,-0.22119140625,-0.9530029296875,0.7934569716453552,-0.30517578125,0.30517578125
