time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
0.000000,393932,-1.000000,-0.959623,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,44.005715,44.005715,0,rest,0.000000,,,,,,
0.022000,393954,-0.031874,-0.031898,0.000389,-0.017838,0.999841,0.999960,0.008919,0.000194,0.000071,-0.000201,-0.031874,-0.031874,-0.031874,18.718771,18.718771,0,rest,0.000000,,,,,,0.022000
0.038000,393970,-0.026622,-0.000726,0.000761,-0.034694,0.999398,0.999849,0.017349,0.000379,0.000114,-0.000180,-0.026622,-0.026622,-0.026622,0.294984,0.294984,0,rest,0.000000,,,,,,0.016000
0.055000,393987,-0.022208,-0.030609,0.001183,-0.050742,0.998711,0.999678,0.025379,0.000588,0.000160,-0.000179,-0.022208,-0.022208,-0.022208,0.264456,0.264456,0,rest,0.000000,,,,,,0.017000
0.072000,394004,-0.017631,-0.029357,0.001606,-0.065940,0.997822,0.999455,0.032988,0.000797,0.000206,-0.000171,-0.017631,-0.017631,-0.017631,0.291131,0.291131,0,rest,0.000000,,,,,,0.017000
0.088000,394020,-0.012644,-0.018487,0.002011,-0.080377,0.996763,0.999190,0.040221,0.000996,0.000250,-0.000199,-0.012644,-0.012644,-0.012644,0.238926,0.238926,0,rest,0.000000,,,,,,0.016000
0.107000,394039,-0.009746,-0.024695,0.002299,-0.094094,0.995561,0.998890,0.047100,0.001137,0.000299,-0.000214,-0.009746,-0.009746,-0.009746,0.150936,0.150936,0,rest,0.000000,,,,,,0.019000
0.126000,394058,-0.006908,0.001313,0.002567,-0.107125,0.994242,0.998559,0.053640,0.001267,0.000349,-0.000244,-0.006908,-0.006908,-0.006908,0.188261,0.188261,0,rest,0.000000,,,,,,0.019000
0.145000,394077,-0.002592,0.008906,0.002840,-0.119503,0.992830,0.998206,0.059860,0.001399,0.000389,-0.000205,-0.002592,-0.002592,-0.002592,0.191225,0.191225,0,rest,0.000000,,,,,,0.019000
0.170000,394102,0.001006,0.012502,0.003115,-0.131261,0.991343,0.997833,0.065773,0.001532,0.000442,-0.000176,0.001006,0.001006,0.001006,0.125019,0.125019,0,rest,0.000000,,,,,,0.025000
0.185000,394117,0.002712,0.011149,0.003376,-0.142270,0.989822,0.997452,0.071317,0.001658,0.000474,-0.000176,0.002712,0.002712,0.002712,0.141775,0.141775,0,rest,0.000000,,,,,,0.015000
0.202000,394134,0.005663,0.001028,0.003650,-0.152781,0.988253,0.997059,0.076617,0.001790,0.000520,-0.000203,0.005663,0.005663,0.005663,0.114856,0.114856,0,rest,0.000000,,,,,,0.017000
0.221000,394153,0.006598,-0.000694,0.003964,-0.162793,0.986652,0.996657,0.081671,0.001942,0.000573,-0.000168,0.006598,0.006598,0.006598,0.060075,0.060075,0,rest,0.000000,,,,,,0.019000
0.239000,394171,0.007865,0.005970,0.004181,-0.172274,0.985040,0.996253,0.086462,0.002045,0.000611,-0.000169,0.007865,0.007865,0.007865,0.092575,0.092575,0,rest,0.000000,,,,,,0.018000
0.258000,394190,0.010068,0.005914,0.004396,-0.181276,0.983422,0.995847,0.091018,0.002146,0.000671,-0.000195,0.010068,0.010068,0.010068,0.091735,0.091735,0,rest,0.000000,,,,,,0.019000
0.276000,394208,0.011306,0.002220,0.004566,-0.189828,0.981807,0.995441,0.095350,0.002224,0.000727,-0.000171,0.011306,0.011306,0.011306,0.087437,0.087437,0,rest,0.000000,,,,,,0.018000
0.295000,394227,0.013342,0.003625,0.004785,-0.197909,0.980209,0.995040,0.099450,0.002326,0.000778,-0.000167,0.013342,0.013342,0.013342,0.064546,0.064546,0,rest,0.000000,,,,,,0.019000
0.320000,394252,0.013554,0.008546,0.004980,-0.205645,0.978614,0.994639,0.103379,0.002417,0.000831,-0.000196,0.013554,0.013554,0.013554,0.071746,0.071746,0,rest,0.000000,,,,,,0.025000
0.336000,394268,0.015350,0.010868,0.005204,-0.212861,0.977069,0.994250,0.107048,0.002523,0.000876,-0.000195,0.015350,0.015350,0.015350,0.089871,0.089871,0,rest,0.000000,,,,,,0.016000
0.353000,394285,0.016474,0.011654,0.005402,-0.219727,0.975547,0.993867,0.110544,0.002615,0.000922,-0.000195,0.016474,0.016474,0.016474,0.017238,0.017238,0,rest,0.000000,,,,,,0.017000
0.370000,394302,0.015936,0.013756,0.005543,-0.226257,0.974052,0.993491,0.113872,0.002678,0.000975,-0.000170,0.015936,0.015936,0.015936,0.029700,0.029700,0,rest,0.000000,,,,,,0.017000
0.388000,394320,0.017640,0.016286,0.005708,-0.232466,0.972588,0.993123,0.117041,0.002753,0.001023,-0.000171,0.017640,0.017640,0.017640,0.067805,0.067805,0,rest,0.000000,,,,,,0.018000
0.406000,394338,0.018377,0.017740,0.005877,-0.238384,0.971153,0.992762,0.120064,0.002830,0.001072,-0.000171,0.018377,0.018377,0.018377,0.032065,0.032065,0,rest,0.000000,,,,,,0.018000
0.424000,394356,0.018794,0.018307,0.006008,-0.243997,0.969757,0.992410,0.122935,0.002888,0.001119,-0.000191,0.018794,0.018794,0.018794,0.009012,0.009012,0,rest,0.000000,,,,,,0.018000
0.448000,394380,0.018557,0.018274,0.006162,-0.249393,0.968383,0.992063,0.125698,0.002956,0.001183,-0.000163,0.018557,0.018557,0.018557,-0.029489,-0.029489,0,rest,0.000000,,,,,,0.024000
0.464000,394396,0.017876,0.017313,0.006333,-0.254368,0.967087,0.991737,0.128247,0.003034,0.001228,-0.000165,0.017876,0.017876,0.017876,0.026489,0.026489,0,rest,0.000000,,,,,,0.016000
0.481000,394413,0.019574,0.017880,0.006504,-0.259101,0.965828,0.991419,0.130676,0.003112,0.001276,-0.000194,0.019574,0.019574,0.019574,0.078001,0.078001,0,rest,0.000000,,,,,,0.017000
0.500000,394432,0.020592,0.020129,0.006599,-0.263655,0.964594,0.991108,0.133014,0.003150,0.001334,-0.000192,0.020592,0.020592,0.020592,0.047344,0.047344,0,rest,0.000000,,,,,,0.019000
0.519000,394451,0.021373,0.022618,0.006690,-0.267957,0.963408,0.990809,0.135226,0.003186,0.001393,-0.000192,0.021373,0.021373,0.021373,0.044545,0.044545,0,rest,0.000000,,,,,,0.019000
0.538000,394470,0.022284,0.025960,0.006770,-0.272034,0.962264,0.990520,0.137324,0.003218,0.001441,-0.000165,0.022284,0.022284,0.022284,-0.003313,-0.003313,0,rest,0.000000,,,,,,0.019000
0.557000,394489,0.021247,0.027799,0.006870,-0.275942,0.961150,0.990239,0.139336,0.003260,0.001481,-0.000140,0.021247,0.021247,0.021247,-0.025063,-0.025063,0,rest,0.000000,,,,,,0.019000
0.582000,394514,0.021592,0.027844,0.006934,-0.279703,0.960061,0.989964,0.141275,0.003282,0.001545,-0.000169,0.021592,0.021592,0.021592,0.048408,0.048408,0,rest,0.000000,,,,,,0.025000
0.598000,394530,0.022721,0.027723,0.006994,-0.283164,0.959046,0.989707,0.143060,0.003304,0.001585,-0.000169,0.022721,0.022721,0.022721,-0.033347,-0.033347,0,rest,0.000000,,,,,,0.016000
0.610000,394542,0.021386,0.026804,0.007074,-0.286422,0.958077,0.989463,0.144742,0.003338,0.001616,-0.000169,0.021386,0.021386,0.021386,-0.038809,-0.038809,0,rest,0.000000,,,,,,0.012000
0.629000,394561,0.022828,0.026206,0.007127,-0.289587,0.957125,0.989222,0.146377,0.003356,0.001664,-0.000169,0.022828,0.022828,0.022828,0.077628,0.077628,0,rest,0.000000,,,,,,0.019000
0.648000,394580,0.024335,0.026127,0.007195,-0.292569,0.956217,0.988992,0.147919,0.003383,0.001703,-0.000199,0.024335,0.024335,0.024335,-0.011499,-0.011499,0,rest,0.000000,,,,,,0.019000
0.665000,394597,0.022758,0.025499,0.007251,-0.295375,0.955354,0.988774,0.149370,0.003404,0.001738,-0.000170,0.022758,0.022758,0.022758,-0.058310,-0.058310,0,rest,0.000000,,,,,,0.017000
0.682000,394614,0.022353,0.024609,0.007291,-0.298053,0.954521,0.988563,0.150757,0.003416,0.001781,-0.000168,0.022353,0.022353,0.022353,-0.027059,-0.027059,0,rest,0.000000,,,,,,0.017000
0.703000,394635,0.021702,0.023944,0.007354,-0.300678,0.953697,0.988355,0.152117,0.003438,0.001835,-0.000164,0.021702,0.021702,0.021702,0.076274,0.076274,0,rest,0.000000,,,,,,0.021000
0.722000,394654,0.024995,0.023425,0.007417,-0.303095,0.952932,0.988161,0.153370,0.003460,0.001885,-0.000193,0.024995,0.024995,0.024995,0.092368,0.092368,0,rest,0.000000,,,,,,0.019000
0.742000,394674,0.025138,0.023042,0.007510,-0.305424,0.952187,0.987972,0.154578,0.003496,0.001951,-0.000191,0.025138,0.025138,0.025138,-0.029065,-0.029065,0,rest,0.000000,,,,,,0.020000
0.762000,394694,0.023832,0.022900,0.007576,-0.307695,0.951455,0.987787,0.155757,0.003519,0.002004,-0.000192,0.023832,0.023832,0.023832,-0.093178,-0.093178,0,rest,0.000000,,,,,,0.020000
0.779000,394711,0.021845,0.022522,0.007654,-0.309830,0.950761,0.987611,0.156866,0.003551,0.002041,-0.000198,0.021845,0.021845,0.021845,-0.025355,-0.025355,0,rest,0.000000,,,,,,0.017000
0.796000,394728,0.022970,0.021913,0.007740,-0.311822,0.950109,0.987446,0.157901,0.003585,0.002089,-0.000196,0.022970,0.022970,0.022970,0.059501,0.059501,0,rest,0.000000,,,,,,0.017000
0.817000,394749,0.024046,0.021398,0.007806,-0.313740,0.949477,0.987286,0.158898,0.003608,0.002145,-0.000196,0.024046,0.024046,0.024046,0.028465,0.028465,0,rest,0.000000,,,,,,0.021000
0.836000,394768,0.024196,0.020885,0.007870,-0.315498,0.948894,0.987138,0.159812,0.003632,0.002186,-0.000170,0.024196,0.024196,0.024196,-0.025299,-0.025299,0,rest,0.000000,,,,,,0.019000
0.852000,394784,0.023344,0.020642,0.007854,-0.317135,0.948348,0.987000,0.160664,0.003617,0.002224,-0.000168,0.023344,0.023344,0.023344,-0.003719,-0.003719,0,rest,0.000000,,,,,,0.016000
0.872000,394804,0.024507,0.020736,0.007851,-0.318779,0.947797,0.986860,0.161520,0.003604,0.002283,-0.000194,0.024507,0.024507,0.024507,0.030790,0.030790,0,rest,0.000000,,,,,,0.020000
0.893000,394825,0.024550,0.020982,0.007846,-0.320316,0.947278,0.986729,0.162320,0.003592,0.002334,-0.000196,0.024550,0.024550,0.024550,-0.068791,-0.068791,0,rest,0.000000,,,,,,0.021000
0.910000,394842,0.022406,0.021470,0.007905,-0.321798,0.946775,0.986601,0.163093,0.003612,0.002381,-0.000196,0.022406,0.022406,0.022406,0.006117,0.006117,0,rest,0.000000,,,,,,0.017000
0.927000,394859,0.024758,0.022145,0.007942,-0.323167,0.946309,0.986483,0.163806,0.003623,0.002425,-0.000201,0.024758,0.024758,0.024758,0.092658,0.092658,0,rest,0.000000,,,,,,0.017000
0.946000,394878,0.025548,0.023004,0.007969,-0.324454,0.945868,0.986371,0.164478,0.003629,0.002465,-0.000198,0.025548,0.025548,0.025548,0.029518,0.029518,0,rest,0.000000,,,,,,0.019000
0.966000,394898,0.025885,0.024162,0.008005,-0.325714,0.945435,0.986261,0.165135,0.003639,0.002507,-0.000193,0.025885,0.025885,0.025885,-0.016454,-0.016454,0,rest,0.000000,,,,,,0.020000
0.982000,394914,0.025195,0.025617,0.008035,-0.326874,0.945034,0.986159,0.165740,0.003646,0.002549,-0.000167,0.025195,0.025195,0.025195,-0.039884,-0.039884,0,rest,0.000000,,,,,,0.016000
1.003000,394935,0.024446,0.026478,0.008068,-0.328017,0.944637,0.986059,0.166337,0.003652,0.002604,-0.000167,0.024446,0.024446,0.024446,-0.074989,-0.074989,0,rest,0.000000,,,,,,0.021000
