time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
0.000000,787554,-1.000000,-1.032404,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,1.000000,45.541452,45.541452,0,rest,0.000000,,,,,,
0.016000,787570,-1.728663,-1.697022,-0.004329,0.126221,0.991993,0.997996,-0.063237,-0.002167,0.000032,-0.000178,1.728663,-1.728663,1.728663,20.152999,20.152999,1,concentric,0.000000,0.016000,0.588000,0.572000,1.728663,0.016000,0.016000
0.032000,787586,-1.644896,-1.643461,-0.008338,0.244264,0.969673,0.992389,-0.123069,-0.004193,0.000063,-0.000181,1.644896,-1.644896,1.644896,-5.221569,-5.221569,1,concentric,0.027972,0.016000,0.588000,0.572000,1.728663,0.016000,0.016000
0.049000,787603,-1.556380,-1.520867,-0.011987,0.353139,0.935494,0.983741,-0.179488,-0.006076,0.000091,-0.000180,1.556380,-1.556380,1.556380,-5.438026,-5.438026,1,concentric,0.057692,0.016000,0.588000,0.572000,1.728663,0.016000,0.017000
0.065000,787619,-1.465890,-1.429268,-0.015313,0.452342,0.891713,0.972552,-0.232555,-0.007843,0.000126,-0.000177,1.465890,-1.465890,1.465890,-4.714643,-4.714643,1,concentric,0.085664,0.016000,0.588000,0.572000,1.728663,0.016000,0.016000
0.113000,787667,-1.375090,-1.364020,-0.018619,0.541383,0.840570,0.959315,-0.282174,-0.009638,0.000225,-0.000176,1.375090,-1.375090,1.375090,-1.703080,-1.703080,1,concentric,0.169580,0.016000,0.588000,0.572000,1.728663,0.016000,0.048000
0.175000,787729,-1.284602,-1.274166,-0.021543,0.620497,0.783913,0.944434,-0.328507,-0.011277,0.000368,-0.000200,1.284602,-1.284602,1.284602,-4.327103,-4.327103,1,concentric,0.277972,0.016000,0.588000,0.572000,1.728663,0.016000,0.062000
0.192000,787746,-1.197674,-1.209754,-0.023886,0.690666,0.722779,0.928111,-0.372087,-0.012720,0.000370,-0.000184,1.197674,-1.197674,1.197674,-5.104509,-5.104509,1,concentric,0.307692,0.016000,0.588000,0.572000,1.728663,0.016000,0.017000
0.209000,787763,-1.111048,-1.128608,-0.025999,0.751749,0.658937,0.910752,-0.412714,-0.014094,0.000395,-0.000220,1.111048,-1.111048,1.111048,-4.659788,-4.659788,1,concentric,0.337413,0.016000,0.588000,0.572000,1.728663,0.016000,0.017000
0.229000,787783,-1.028108,-1.040411,-0.027877,0.804301,0.593568,0.892627,-0.450532,-0.015395,0.000436,-0.000226,1.028108,-1.028108,1.028108,-4.522220,-4.522220,1,concentric,0.372378,0.016000,0.588000,0.572000,1.728663,0.016000,0.020000
