time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
0.000000,156015,-1.000000,-0.959734,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,59.762312,59.762312,0,rest,0.000000,,,,,,
0.017000,156032,0.015959,0.016095,0.001848,0.006781,0.999975,0.999994,-0.003391,0.000924,0.000045,-0.000174,0.015959,0.015959,0.015959,31.561296,31.561296,0,rest,0.000000,,,,,,0.017000
0.036000,156051,0.016767,0.042409,0.003627,0.013229,0.999906,0.999976,-0.006615,0.001814,0.000096,-0.000174,0.016767,0.016767,0.016767,0.061563,0.061563,0,rest,0.000000,,,,,,0.019000
0.055000,156070,0.018299,0.008996,0.005305,0.019363,0.999798,0.999950,-0.009681,0.002654,0.000136,-0.000142,0.018299,0.018299,0.018299,0.012153,0.012153,0,rest,0.000000,,,,,,0.019000
0.074000,156089,0.017229,0.005990,0.006919,0.025189,0.999659,0.999915,-0.012595,0.003462,0.000187,-0.000148,0.017229,0.017229,0.017229,0.028165,0.028165,0,rest,0.000000,,,,,,0.019000
0.093000,156108,0.019369,0.014247,0.008461,0.030702,0.999493,0.999873,-0.015352,0.004235,0.000237,-0.000148,0.019369,0.019369,0.019369,0.080493,0.080493,0,rest,0.000000,,,,,,0.019000
0.116000,156131,0.020325,0.004040,0.009937,0.035861,0.999307,0.999827,-0.017932,0.004975,0.000298,-0.000148,0.020325,0.020325,0.020325,0.008600,0.008600,0,rest,0.000000,,,,,,0.023000
0.132000,156147,0.020096,0.027624,0.011386,0.040910,0.999098,0.999774,-0.020458,0.005701,0.000332,-0.000148,0.020096,0.020096,0.020096,-0.011431,-0.011431,0,rest,0.000000,,,,,,0.016000
0.149000,156164,0.019954,0.032191,0.012712,0.045704,0.998874,0.999718,-0.022856,0.006366,0.000377,-0.000124,0.019954,0.019954,0.019954,0.010585,0.010585,0,rest,0.000000,,,,,,0.017000
0.167000,156182,0.020505,0.032882,0.013897,0.050199,0.998643,0.999660,-0.025105,0.006962,0.000426,-0.000148,0.020505,0.020505,0.020505,0.043604,0.043604,0,rest,0.000000,,,,,,0.018000
0.186000,156201,0.021594,0.029515,0.015121,0.054494,0.998400,0.999600,-0.027254,0.007576,0.000476,-0.000141,0.021594,0.021594,0.021594,0.056840,0.056840,0,rest,0.000000,,,,,,0.019000
0.203000,156218,0.022553,0.018285,0.016221,0.058586,0.998151,0.999537,-0.029302,0.008129,0.000513,-0.000141,0.022553,0.022553,0.022553,0.026414,0.026414,0,rest,0.000000,,,,,,0.017000
0.224000,156239,0.022330,0.015485,0.017219,0.062378,0.997904,0.999476,-0.031200,0.008631,0.000558,-0.000148,0.022330,0.022330,0.022330,0.059774,0.059774,0,rest,0.000000,,,,,,0.021000
0.240000,156255,0.024145,0.021268,0.018238,0.066054,0.997649,0.999412,-0.033041,0.009144,0.000592,-0.000141,0.024145,0.024145,0.024145,0.041875,0.041875,0,rest,0.000000,,,,,,0.016000
0.259000,156274,0.023326,0.020061,0.019183,0.069526,0.997396,0.999349,-0.034780,0.009620,0.000633,-0.000141,0.023326,0.023326,0.023326,-0.041392,-0.041392,0,rest,0.000000,,,,,,0.019000
0.277000,156292,0.022610,0.014747,0.020079,0.072847,0.997141,0.999285,-0.036443,0.010071,0.000671,-0.000141,0.022610,0.022610,0.022610,-0.009287,-0.009287,0,rest,0.000000,,,,,,0.018000
0.296000,156311,0.023045,0.014354,0.020907,0.075953,0.996892,0.999222,-0.037998,0.010489,0.000722,-0.000156,0.023045,0.023045,0.023045,0.041391,0.041391,0,rest,0.000000,,,,,,0.019000
