tMillis,vertical_acc,vertical_vel
71187.0,9.801401855802645,0.20321385171007564
71203.0,9.802599428698041,0.06937342996398424
71220.0,9.813377254285935,-0.027747006011482306
71237.0,9.800204728249167,-0.09127511647142608
71253.0,9.80140155697118,-0.12433856167094945
71270.0,9.842116672180046,-0.1300650018651545
71291.0,9.79301922205268,-0.11158209730914334
71307.0,9.808587481069601,-0.07201750825801836
71323.0,9.822957000528593,-0.014498894966881642
71339.0,9.803609003149804,0.057846082309164715
71404.0,9.810076066138219,0.14188976331501751
71425.0,9.812802003330715,0.22381251923624634
71441.0,9.812986309452356,0.3169382257319988
71475.0,9.799282476478426,0.41745561062590975
71529.0,9.799585009131647,0.5134923013667447
71546.0,9.819145120647567,0.6059211848236689
71579.0,9.803901197569207,0.6948910009244087
71596.0,9.805447003120186,0.777586813351064
71629.0,9.800400031283232,0.8275662869922664
71651.0,9.812096102974698,0.8585400888919729
71668.0,9.820581976271269,0.8773783487556872
71697.0,9.815645918251269,0.920704319380157
71714.0,9.817141264804903,0.9572840901172857
71730.0,9.803820077091602,0.9827498914668031
71758.0,9.825413995625983,1.006925430879229
71780.0,9.821133346802705,1.0475284127508702
71796.0,9.810580780837753,1.081242978164906
71813.0,9.799598928952758,1.1177313540633205
71863.0,9.802237041624156,1.1429418971139307
71896.0,9.805846901432844,1.1444722536097407
71913.0,9.807832152699856,1.157101278171289
71929.0,9.81632630774232,1.1739771570209039
71950.0,9.812011151856028,1.202180624315468
71966.0,9.807552129930675,1.209191193078862
71982.0,9.822404364546015,1.2187269956192572
71999.0,9.812167505059863,1.243817188342164
72015.0,9.807885626809265,1.269177933282852
72032.0,9.802185313833629,1.300088478904212
72053.0,9.8075449655739,1.3323368237652768
72119.0,9.809286004762317,1.3889663782218553
72136.0,9.803747223652179,1.460750402052048
72153.0,9.818587879974368,1.5347475245791702
72169.0,9.811357902962035,1.6097472287585082
72225.0,9.804627555139307,1.6859095807923392
72251.0,9.810136696367893,1.7569249567381298
72268.0,9.818006871034598,1.8084650319814677
72301.0,9.814511722944655,1.8517719345146222
72318.0,9.808646329093518,1.8794129740251566
72334.0,9.81097780257823,1.8914969938913562
72351.0,9.808490980660814,1.8587635105907268
72370.0,9.811203583127554,1.8606793105896617
72391.0,9.808241501371407,1.8665186472843331
72408.0,9.802719430800755,1.8639274090364726
72425.0,9.813984147657578,1.856545576622762
72441.0,9.805300972144053,1.8785520570174132
72475.0,9.817151936596494,1.91199874030317
72492.0,9.81662232591985,1.9486018938837675
72513.0,9.808112379457203,1.9975331602868733
72529.0,9.802263128732537,2.0475258289640905
72596.0,9.809622626620543,2.097045548522194
72613.0,9.807187627562564,2.143574357220709
72629.0,9.808356334395455,2.180059033779575
72659.0,9.807066245612454,2.2190746999833184
72680.0,9.80650752666835,2.2545619693133387
72696.0,9.81548970107106,2.2827068599466998
72713.0,9.821294001577806,2.2966202757668643
72730.0,9.819844841987562,2.3115233876851837
72750.0,9.807775102728003,2.3059756467166865
72771.0,9.800669855899342,2.29163672275158
72790.0,9.809380146134448,2.2651579988251873
72810.0,9.821135288040612,2.2675354605827183
72842.0,9.812719156651404,2.2669949161301415
72858.0,9.818978119176016,2.2639386116694746
72874.0,9.814345054759727,2.2681495777957545
72890.0,9.808774300207507,2.274217452711283
72910.0,9.806492109574828,2.2774139680018717
72926.0,9.814557084311325,2.2766494891133022
72958.0,9.806907856462628,2.263749531641794
72978.0,9.80766061190889,2.2467054669221014
72994.0,9.806052931485544,2.2306515995886036
73010.0,9.81671984852774,2.2127580019038806
73030.0,9.812083015179672,2.193143715177943
73046.0,9.804165821082886,2.182580118779101
73062.0,9.804161248489015,2.162004419591587
73078.0,9.808343782317166,2.140242151394535
73094.0,9.817022214966688,2.120345350616401
73110.0,9.818409430000262,2.103045774295212
73138.0,9.803342315390047,2.0843453388887134
73160.0,9.803838575908717,2.0771028706159793
73176.0,9.818954215831328,2.0661952921224542
73193.0,9.814255225173184,2.0601365656315545
73210.0,9.799894332222697,2.0577825757653314
73226.0,9.820656661583467,2.054029605937911
73258.0,9.8091166251039,2.051696396207874
73280.0,9.801522348253265,2.053583243701107
73296.0,9.801614415135992,2.038560160877726
73313.0,9.809670985549692,2.017772944955428
73330.0,9.814189322836656,2.0109633596592724
73346.0,9.812419343848035,2.017417395138854
73377.0,9.81098247063015,2.043687326032541
73394.0,9.810804068145435,2.0815484480920015
73410.0,9.800683052995533,2.119567290855256
73438.0,9.807864911712535,2.1673238999332476
73460.0,9.806103147554639,2.2194229146909192
73476.0,9.809534034438283,2.285140309372133
73526.0,9.805320798735018,2.3544414649742706
73570.0,9.807542149660934,2.4199854056359498
73587.0,9.812190295617107,2.4834995459923737
73617.0,9.811981416555536,2.540326562158964
73633.0,9.797914735064547,2.585801730137007
73650.0,9.807840683632227,2.620260822676606
73682.0,9.811197218236867,2.646324203107475
73698.0,9.808738530207059,2.6597569275404256
73714.0,9.807974576500067,2.6578548044821386
73730.0,9.809479157080718,2.648848183068056
73750.0,9.81299436160982,2.624955905250815
73772.0,9.81781923643262,2.600775876020101
73788.0,9.812863333926204,2.596121740298992
73805.0,9.810115153117616,2.5933984139375275
