tMillis,roll_deg,pitch_deg,yaw_deg,skip_impact,full_reinit,gravity_update,zupt,rep_in_progress,acc_mag_g,gyro_mag,ekf_speed,acc_world_x,acc_world_y,acc_world_z,vel_world_x,vel_world_y,vel_world_z,vertical_acc,vertical_vel,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,rep_acc_count,rep_cooldown_count
126975.0,75.04208863410766,-2.4255310048012677,-1.8893992417343544,False,False,True,False,False,0.5106785786101221,0.22487550687913951,500.2574953158944,0.008100243822691372,0.1490551617599192,4.804742517134207,-6.530798833076032,-33.94637354078209,489.63602865519823,4.804742517134207,489.63602865519823,0.004849544934917376,0.01819111539851063,0.013050109574252523,0.006916839540904243,0.0005218707981773297,0.001070577376592565,0,0
126996.0,69.69973999526226,-2.3495511601291317,-1.6712142234009508,False,False,True,False,False,0.5122748764445357,0.22358244821449647,500.34766254394964,-0.01280825503196741,-0.2950217663896129,4.7954889449682145,-6.531067806431703,-33.95256899787627,489.73673392304255,4.7954889449682145,489.73673392304255,0.004506202357300898,0.017937081416825297,0.012941972871552989,0.007334869259620936,0.0005326321529972663,0.001112168602950382,0,0
127012.0,64.73378954486572,-2.2647036514645467,-1.4900852350869092,False,False,True,False,False,0.5127162140049809,0.2231874478313503,500.4170871249744,-0.028472096143426422,-0.7264410418893165,4.833531776321507,-6.531523359969998,-33.9641920545465,489.8140704314637,4.833531776321507,489.8140704314637,0.003610447259882665,0.013773444772914296,0.01265116785055085,0.00753632193392999,0.0005218707981773297,0.000928675909497787,0,0
127029.0,59.90201981867748,-2.1620705370002256,-1.3147926490531674,False,False,True,False,False,0.5112657163636293,0.22372219009942615,500.4952432732276,-0.04512554550009719,-1.1461704053082733,4.925135013311412,-6.532290494243499,-33.98367695143674,489.89779772669,4.925135013311412,489.89779772669,0.002500473800107732,0.00980277134762378,0.012534444033276412,0.007126929250336958,0.0006391586096041529,0.0008522114838067883,0,0
127046.0,55.10144562885011,-2.0545255345787496,-1.1631551888835203,False,False,True,False,False,0.5101111428676552,0.22424628564015814,500.5778745572769,-0.062390454473613584,-1.5543369159716403,5.051417573684359,-6.5333511319695505,-34.01010067900826,489.9836718254426,5.051417573684359,489.9836718254426,0.0035036115235350567,0.010288135284754507,0.012718433207472717,0.0064269972153958,0.0006737323445256189,0.0008588435646927248,0,0
127079.0,50.01769247557683,-1.8980903424984241,-0.9723005858943902,False,False,True,False,False,0.5117793459416906,0.22074756191345976,500.74939121253766,-0.09683145940642256,-1.968447376431958,5.197190805660189,-6.536546570129962,-34.075059442430515,490.15517912202944,5.197190805660189,490.15517912202944,0.0039006479548044943,0.00993644506999989,0.012390031187613422,0.00608693971833782,0.0005736624285589634,0.0009763308634709093,0,0
127095.0,45.049129060709355,-1.7406100146425185,-0.8050308858695391,False,False,True,False,False,0.5123736406083976,0.22027186519710315,500.83821248290525,-0.10956967670464833,-2.3673578072450225,5.378233385264924,-6.538299684957237,-34.11293716734644,490.2412308561937,5.378233385264924,490.2412308561937,0.004383605497701761,0.008942119025021986,0.010248333071446921,0.006622655538117026,0.0008319981565912071,0.0008522114447956262,0,0
127111.0,39.952338510800054,-1.583726604885299,-0.6556469298144484,False,False,True,False,False,0.5135034948100533,0.2209560468319649,500.9326745231755,-0.13159539215475374,-2.756534263529712,5.592373894692139,-6.540405211231713,-34.15704171556291,490.33070883850877,5.592373894692139,490.33070883850877,0.004383605497701761,0.008702362048507162,0.009185766377666289,0.006791843948373552,0.0008522115780837214,0.0006821020123462011,0,0
127143.0,34.545448488351404,-1.3956788232584796,-0.5116781215345829,False,False,True,False,False,0.5113567691120788,0.22079366737769437,501.1304384120266,-0.1473595133160965,-3.119367146459604,5.8835561549692645,-6.545120715657828,-34.25686146424962,490.5189826354678,5.8835561549692645,490.5189826354678,0.004463033910074744,0.00850906319528521,0.009292089353324982,0.006774277810289142,0.000714601166048343,0.0006821020123462011,0,0
127159.0,29.227293744537175,-1.2022225381396405,-0.38974879462070827,False,False,True,False,False,0.5124123928799712,0.22156379154789804,501.2414205567782,-0.15647025947693685,-3.4843769832031373,6.186045369846553,-6.547624239809459,-34.31261149598087,490.6179593613854,6.186045369846553,490.6179593613854,0.004487067653634403,0.008200100594614386,0.008525899506158379,0.006356871057354062,0.0007066165422560907,0.000797170874435228,0,0
127175.0,23.819693506774488,-0.9899405173799907,-0.28350074185025886,False,False,True,False,False,0.5128634274978711,0.2234305430723839,501.3596935700762,-0.1783877769618247,-3.812391652116178,6.522088356520272,-6.550478444240849,-34.37360976241472,490.7223127750897,6.522088356520272,490.7223127750897,0.004537914235934574,0.00817119452595533,0.0061575761180034105,0.005820088238273437,0.0007066165422560907,0.0008848750671566221,0,0
127191.0,18.339269545885895,-0.7682678862260327,-0.1944524612997712,False,False,True,False,False,0.5149288454540418,0.2252542829962389,501.48589655803806,-0.19124092283386038,-4.129574039156738,6.8962535816743005,-6.55353829900619,-34.439682947041234,490.8326528323965,6.8962535816743005,490.8326528323965,0.004589759840502645,0.011588034146228887,0.0063547049205833085,0.00528353925871861,0.0008588436695320331,0.0008848750671566221,0,0
127211.0,12.781747013337752,-0.5345468609177234,-0.12670020950589886,False,False,True,False,False,0.5159256896510457,0.22593973694756367,501.6508835107532,-0.19828034964266872,-4.4016262777335315,7.314701664844019,-6.557503905999043,-34.52771547259591,490.9789468656934,7.314701664844019,490.9789468656934,0.004377057913019933,0.016004125523758583,0.005861684923711216,0.004744912427849717,0.0008588436695320331,0.000884875067156622,0,0
127252.0,6.9819240374082945,-0.303720146797092,-0.0777517030530451,False,False,True,False,False,0.5152790313467964,0.22802716428232772,501.9956920617291,-0.19900597525632724,-4.622784852935022,7.766871446633222,-6.565663150984553,-34.71724965156624,491.2973885950054,7.766871446633222,491.2973885950054,0.004545807639422945,0.016869593409841274,0.006313954700322889,0.003871762973828605,0.0008588436695320331,0.000884875067156622,0,0
127269.0,1.5718413166914105,-0.07708829032288934,-0.05742084373866711,False,False,True,False,False,0.5148218737861824,0.23113604399051693,502.1630871015629,-0.21185373261292068,-4.792476435287003,8.200628227093164,-6.569264664438973,-34.79872175096612,491.43679927486596,8.200628227093164,491.43679927486596,0.003570507455340322,0.01481286181086478,0.0069836486176263046,0.0023724559103052005,0.0008522115780837213,0.0009528014481147519,0,0
