time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
4.072,20655,0.078118,0.113032,0.041816,0.135936,0.989835,0.997414,-0.067948,0.021581,0.00909,-0.021157,0.078118,0.078118,0.078118,5.025313,5.025313,1,concentric,0.0,4.072,4.556,0.484,0.686332,4.18,0.017
4.105,20688,0.414604,0.403363,0.043286,0.129406,0.990646,0.997621,-0.064665,0.022255,0.00864,-0.042119,0.414604,0.414604,0.414604,8.013076,8.013076,1,concentric,0.068182,4.072,4.556,0.484,0.686332,4.18,0.033
4.122,20705,0.531704,0.538611,0.043322,0.124916,0.991221,0.997767,-0.062409,0.022238,0.008456,-0.071168,0.531704,0.531704,0.531704,7.225817,7.225817,1,concentric,0.103306,4.072,4.556,0.484,0.686332,4.18,0.017
4.138,20721,0.652401,0.620994,0.042814,0.119545,0.991905,0.99794,-0.059713,0.021948,0.008304,-0.115681,0.652401,0.652401,0.652401,4.611241,4.611241,1,concentric,0.136364,4.072,4.556,0.484,0.686332,4.18,0.016
4.155,20738,0.677828,0.671659,0.042174,0.113222,0.992674,0.998134,-0.056541,0.021586,0.008112,-0.142061,0.677828,0.677828,0.677828,1.027987,1.027987,1,concentric,0.171488,4.072,4.556,0.484,0.686332,4.18,0.017
4.18,20763,0.686332,0.656929,0.040505,0.10266,0.993891,0.998441,-0.051248,0.020685,0.007811,-0.185592,0.686332,0.686332,0.686332,-2.27127,-2.27127,1,concentric,0.22314,4.072,4.556,0.484,0.686332,4.18,0.025
4.196,20779,0.62325,0.632611,0.039319,0.095452,0.994657,0.998635,-0.04764,0.020046,0.00754,-0.211214,0.62325,0.62325,0.62325,-3.339871,-3.339871,1,concentric,0.256198,4.072,4.556,0.484,0.686332,4.18,0.016
4.213,20796,0.577359,0.595881,0.038145,0.087682,0.995418,0.998828,-0.043752,0.019412,0.00724,-0.216236,0.577359,0.577359,0.577359,-1.249921,-1.249921,1,concentric,0.291322,4.072,4.556,0.484,0.686332,4.18,0.017
4.233,20816,0.586468,0.581369,0.036692,0.078575,0.996233,0.999034,-0.039197,0.018634,0.006889,-0.214777,0.586468,0.586468,0.586468,0.497083,0.497083,1,concentric,0.332645,4.072,4.556,0.484,0.686332,4.18,0.02
4.25,20833,0.59552,0.596369,0.035302,0.071009,0.996851,0.999191,-0.035416,0.017898,0.006558,-0.206652,0.59552,0.59552,0.59552,0.086156,0.086156,1,concentric,0.367769,4.072,4.556,0.484,0.686332,4.18,0.017
4.283,20866,0.569772,0.575673,0.031985,0.056622,0.997883,0.999453,-0.028229,0.016171,0.006,-0.201588,0.569772,0.569772,0.569772,-2.201637,-2.201637,1,concentric,0.43595,4.072,4.556,0.484,0.686332,4.18,0.033
4.299,20882,0.523519,0.526321,0.030416,0.049949,0.998289,0.999556,-0.024898,0.015358,0.005731,-0.184559,0.523519,0.523519,0.523519,-1.448957,-1.448957,1,concentric,0.469008,4.072,4.556,0.484,0.686332,4.18,0.016
4.315,20898,0.523406,0.504045,0.028842,0.043377,0.998642,0.999646,-0.021617,0.014544,0.005454,-0.179283,0.523406,0.523406,0.523406,-0.310387,-0.310387,1,concentric,0.502066,4.072,4.556,0.484,0.686332,4.18,0.016
4.351,20934,0.487667,0.500626,0.025346,0.0297,0.999237,0.999798,-0.014792,0.012746,0.004742,-0.154497,0.487667,0.487667,0.487667,-1.040153,-1.040153,1,concentric,0.576446,4.072,4.556,0.484,0.686332,4.18,0.036
4.367,20950,0.470687,0.463182,0.023782,0.023893,0.999432,0.999848,-0.011895,0.011946,0.004427,-0.141835,0.470687,0.470687,0.470687,-2.129616,-2.129616,1,concentric,0.609504,4.072,4.556,0.484,0.686332,4.18,0.016
4.384,20967,0.415186,0.397551,0.022149,0.018194,0.999589,0.999889,-0.009052,0.011113,0.004114,-0.122052,0.415186,0.415186,0.415186,-2.911347,-2.911347,1,concentric,0.644628,4.072,4.556,0.484,0.686332,4.18,0.017
4.434,21017,0.321594,0.328687,0.018253,0.005011,0.999821,0.99995,-0.002476,0.009135,0.003206,-0.075897,0.321594,0.321594,0.321594,-2.050304,-2.050304,1,concentric,0.747934,4.072,4.556,0.484,0.686332,4.18,0.05
4.477,21060,0.226831,0.247264,0.015324,-0.00348,0.999877,0.999966,0.001759,0.007658,0.002461,-0.043838,0.226831,0.226831,0.226831,-4.093722,-4.093722,1,concentric,0.836777,4.072,4.556,0.484,0.686332,4.18,0.043
4.489,21072,0.171378,0.177417,0.014604,-0.005337,0.999879,0.999967,0.002685,0.007296,0.002256,-0.02771,0.171378,0.171378,0.171378,-3.738931,-3.738931,1,concentric,0.86157,4.072,4.556,0.484,0.686332,4.18,0.012
4.522,21105,0.128054,0.123586,0.012614,-0.00872,0.999882,0.999969,0.004371,0.0063,0.001731,-0.014254,0.128054,0.128054,0.128054,-3.269344,-3.269344,1,concentric,0.929752,4.072,4.556,0.484,0.686332,4.18,0.033
4.539,21122,0.055341,0.068561,0.011776,-0.008397,0.999895,0.999973,0.004207,0.005882,0.001485,-0.008673,0.055341,0.055341,0.055341,-3.409117,-3.409117,1,concentric,0.964876,4.072,4.556,0.484,0.686332,4.18,0.017
