time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
3.493,219897,0.046273,0.058328,0.019555,-0.113463,0.99335,0.998295,0.056912,0.00928,0.009018,-0.023197,0.046273,0.046273,0.046273,0.395076,0.395076,1,concentric,0.0,3.493,4.179,0.686,0.57124,3.613,0.048
3.509,219913,0.054833,0.077914,0.019719,-0.116102,0.993042,0.998218,0.058239,0.009352,0.008992,-0.027676,0.054833,0.054833,0.054833,0.638452,0.638452,1,concentric,0.023324,3.493,4.179,0.686,0.57124,3.613,0.016
3.558,219962,0.101643,0.113771,0.02196,-0.12839,0.991481,0.997829,0.064427,0.010433,0.008837,-0.066009,0.101643,0.101643,0.101643,1.746331,1.746331,1,concentric,0.094752,3.493,4.179,0.686,0.57124,3.613,0.049
3.579,219983,0.145435,0.168583,0.023073,-0.134912,0.990589,0.997605,0.067715,0.010965,0.008824,-0.101054,0.145435,0.145435,0.145435,7.50876,7.50876,1,concentric,0.125364,3.493,4.179,0.686,0.57124,3.613,0.021
3.596,220000,0.347721,0.32905,0.0235,-0.141164,0.989707,0.997385,0.070865,0.011156,0.008791,-0.138562,0.347721,0.347721,0.347721,12.523651,12.523651,1,concentric,0.150146,3.493,4.179,0.686,0.57124,3.613,0.017
3.613,220017,0.57124,0.547769,0.023531,-0.147597,0.988768,0.99715,0.074107,0.011151,0.008725,-0.146239,0.57124,0.57124,0.57124,9.792404,9.792404,1,concentric,0.174927,3.493,4.179,0.686,0.57124,3.613,0.017
3.663,220067,0.567367,0.565482,0.018542,-0.162895,0.986469,0.996581,0.081794,0.008666,0.007755,-0.106423,0.567367,0.567367,0.567367,-0.686266,-0.686266,1,concentric,0.247813,3.493,4.179,0.686,0.57124,3.613,0.05
3.747,220151,0.423804,0.42242,0.007117,-0.172147,0.985046,0.996237,0.086417,0.003067,0.005816,-0.032001,0.423804,0.423804,0.423804,-1.818939,-1.818939,1,concentric,0.370262,3.493,4.179,0.686,0.57124,3.613,0.084
3.764,220168,0.392504,0.379744,0.004935,-0.172993,0.984911,0.996206,0.086837,0.002002,0.005441,-0.020006,0.392504,0.392504,0.392504,-1.357104,-1.357104,1,concentric,0.395044,3.493,4.179,0.686,0.57124,3.613,0.017
3.797,220201,0.378729,0.396382,0.001019,-0.171614,0.985164,0.996273,0.086128,0.000111,0.004625,-0.017098,0.378729,0.378729,0.378729,-0.254121,-0.254121,1,concentric,0.443149,3.493,4.179,0.686,0.57124,3.613,0.033
3.83,220234,0.375732,0.385153,-0.002078,-0.167205,0.98592,0.996466,0.083893,-0.001365,0.003828,-0.028238,0.375732,0.375732,0.375732,0.03418,0.03418,1,concentric,0.491254,3.493,4.179,0.686,0.57124,3.613,0.033
3.866,220270,0.381871,0.388826,-0.005272,-0.160264,0.98706,0.996756,0.080384,-0.002879,0.002908,-0.047169,0.381871,0.381871,0.381871,0.146158,0.146158,1,concentric,0.543732,3.493,4.179,0.686,0.57124,3.613,0.036
3.883,220287,0.38416,0.394918,-0.006689,-0.156587,0.987642,0.996903,0.078528,-0.00355,0.002476,-0.055961,0.38416,0.38416,0.38416,0.490864,0.490864,1,concentric,0.568513,3.493,4.179,0.686,0.57124,3.613,0.017
3.913,220317,0.417745,0.400173,-0.009063,-0.148004,0.988945,0.997231,0.0742,-0.004664,0.001621,-0.091259,0.417745,0.417745,0.417745,-1.866099,-1.866099,1,concentric,0.612245,3.493,4.179,0.686,0.57124,3.613,0.03
3.929,220333,0.36241,0.373897,-0.010324,-0.143201,0.98964,0.997406,0.071781,-0.005258,0.001155,-0.099515,0.36241,0.36241,0.36241,-2.293809,-2.293809,1,concentric,0.635569,3.493,4.179,0.686,0.57124,3.613,0.016
3.946,220350,0.344451,0.353238,-0.011443,-0.137715,0.990406,0.997598,0.06902,-0.005781,0.000658,-0.111682,0.344451,0.344451,0.344451,-0.814737,-0.814737,1,concentric,0.66035,3.493,4.179,0.686,0.57124,3.613,0.017
3.984,220388,0.33402,0.33163,-0.013238,-0.12407,0.992185,0.998044,0.062159,-0.006606,-0.000412,-0.134383,0.33402,0.33402,0.33402,-0.506853,-0.506853,1,concentric,0.715743,3.493,4.179,0.686,0.57124,3.613,0.038
4.001,220405,0.323637,0.320817,-0.013905,-0.117651,0.992958,0.998237,0.058935,-0.006913,-0.000879,-0.147105,0.323637,0.323637,0.323637,-0.558045,-0.558045,1,concentric,0.740525,3.493,4.179,0.686,0.57124,3.613,0.017
4.018,220422,0.315047,0.297528,-0.014475,-0.110957,0.99372,0.998428,0.055575,-0.007175,-0.001335,-0.159065,0.315047,0.315047,0.315047,-1.730329,-1.730329,1,concentric,0.765306,3.493,4.179,0.686,0.57124,3.613,0.017
4.034,220438,0.268914,0.265932,-0.014937,-0.104567,0.994406,0.998599,0.05237,-0.007386,-0.001771,-0.163029,0.268914,0.268914,0.268914,-2.450902,-2.450902,1,concentric,0.78863,3.493,4.179,0.686,0.57124,3.613,0.016
4.051,220455,0.235059,0.239065,-0.01515,-0.097449,0.995125,0.998778,0.048801,-0.007477,-0.002202,-0.177929,0.235059,0.235059,0.235059,-1.353069,-1.353069,1,concentric,0.813411,3.493,4.179,0.686,0.57124,3.613,0.017
