time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
20.565,176580,0.264662,0.235501,0.037096,-0.014879,0.999201,0.99835,0.008429,0.018124,0.05384,-0.013959,0.264662,0.264662,0.264662,3.225369,3.225369,4,concentric,0.0,20.565,21.1,0.535,0.44105,20.706,0.034
20.586,176601,0.292126,0.272455,0.037631,-0.017341,0.999141,0.998336,0.009673,0.018325,0.053818,-0.01438,0.292126,0.292126,0.292126,-0.284901,-0.284901,4,concentric,0.039252,20.565,21.1,0.535,0.44105,20.706,0.021
20.602,176617,0.268152,0.276703,0.03793,-0.01916,0.999097,0.998324,0.010589,0.018426,0.053827,-0.013232,0.268152,0.268152,0.268152,-0.654884,-0.654884,4,concentric,0.069159,20.565,21.1,0.535,0.44105,20.706,0.016
20.619,176634,0.272255,0.274027,0.038424,-0.020873,0.999044,0.998307,0.01146,0.018626,0.053903,-0.010916,0.272255,0.272255,0.272255,0.192976,0.192976,4,concentric,0.100935,20.565,21.1,0.535,0.44105,20.706,0.017
20.636,176651,0.274713,0.276674,0.038975,-0.022433,0.998988,0.998288,0.012256,0.018858,0.05399,-0.009404,0.274713,0.274713,0.274713,0.621282,0.621282,4,concentric,0.13271,20.565,21.1,0.535,0.44105,20.706,0.017
20.652,176667,0.291832,0.315717,0.039646,-0.023577,0.998936,0.998271,0.012847,0.019162,0.054067,-0.006831,0.291832,0.291832,0.291832,1.453649,1.453649,4,concentric,0.162617,20.565,21.1,0.535,0.44105,20.706,0.016
20.69,176705,0.381702,0.364083,0.042002,-0.026168,0.998775,0.998214,0.014211,0.020265,0.054376,-0.008452,0.381702,0.381702,0.381702,3.310952,3.310952,4,concentric,0.233645,20.565,21.1,0.535,0.44105,20.706,0.038
20.706,176721,0.44105,0.419453,0.042774,-0.027437,0.998708,0.998187,0.01487,0.020613,0.054563,-0.008508,0.44105,0.44105,0.44105,1.196158,1.196158,4,concentric,0.263551,20.565,21.1,0.535,0.44105,20.706,0.016
20.723,176738,0.415992,0.41948,0.043447,-0.028765,0.998642,0.99816,0.015556,0.020911,0.054742,-0.007557,0.415992,0.415992,0.415992,-1.501844,-1.501844,4,concentric,0.295327,20.565,21.1,0.535,0.44105,20.706,0.017
20.744,176759,0.383731,0.382859,0.044148,-0.030442,0.998561,0.998131,0.016417,0.021212,0.054917,-0.007391,0.383731,0.383731,0.383731,-1.27416,-1.27416,4,concentric,0.334579,20.565,21.1,0.535,0.44105,20.706,0.021
