time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
3.052,159067,0.577044,0.549436,0.043204,0.115346,0.992385,0.998081,-0.057669,0.021946,0.005239,-0.034122,0.577044,0.577044,0.577044,-2.152827,-2.152827,1,concentric,0.0,3.052,3.419,0.367,0.577044,3.052,0.022
3.069,159084,0.491189,0.490646,0.042626,0.112445,0.992743,0.998171,-0.056216,0.021636,0.005044,-0.03086,0.491189,0.491189,0.491189,-4.023795,-4.023795,1,concentric,0.046322,3.052,3.419,0.367,0.577044,3.052,0.017
3.102,159117,0.424163,0.427907,0.042082,0.107968,0.993263,0.998304,-0.05398,0.02132,0.004503,-0.019151,0.424163,0.424163,0.424163,0.335657,0.335657,1,concentric,0.13624,3.052,3.419,0.367,0.577044,3.052,0.033
3.118,159133,0.447894,0.433424,0.041778,0.106254,0.993461,0.998355,-0.053125,0.021149,0.004239,-0.012142,0.447894,0.447894,0.447894,1.888129,1.888129,1,concentric,0.179837,3.052,3.419,0.367,0.577044,3.052,0.016
3.135,159150,0.487307,0.494348,0.041234,0.104612,0.993658,0.998405,-0.052306,0.020861,0.004028,-0.010521,0.487307,0.487307,0.487307,1.483924,1.483924,1,concentric,0.226158,3.052,3.419,0.367,0.577044,3.052,0.017
3.151,159166,0.498483,0.517506,0.040601,0.103168,0.993835,0.99845,-0.051585,0.02053,0.003834,-0.00982,0.498483,0.498483,0.498483,0.384977,0.384977,1,concentric,0.269755,3.052,3.419,0.367,0.577044,3.052,0.016
3.169,159184,0.499063,0.510141,0.039716,0.101542,0.994038,0.998502,-0.050773,0.020074,0.003659,-0.010648,0.499063,0.499063,0.499063,0.389252,0.389252,1,concentric,0.318801,3.052,3.419,0.367,0.577044,3.052,0.018
3.191,159206,0.517227,0.511505,0.038281,0.099716,0.994279,0.998563,-0.049863,0.01934,0.003432,-0.011109,0.517227,0.517227,0.517227,-0.066231,-0.066231,1,concentric,0.378747,3.052,3.419,0.367,0.577044,3.052,0.022
3.207,159222,0.505789,0.503022,0.037118,0.09837,0.994457,0.998608,-0.049192,0.018746,0.003278,-0.012299,0.505789,0.505789,0.505789,-1.522344,-1.522344,1,concentric,0.422343,3.052,3.419,0.367,0.577044,3.052,0.016
3.222,159237,0.471599,0.491046,0.035867,0.097076,0.99463,0.998652,-0.048547,0.018109,0.003121,-0.014271,0.471599,0.471599,0.471599,-1.254508,-1.254508,1,concentric,0.463215,3.052,3.419,0.367,0.577044,3.052,0.015
3.238,159253,0.469018,0.476988,0.034532,0.09573,0.994808,0.998697,-0.047876,0.01743,0.002963,-0.013914,0.469018,0.469018,0.469018,-0.297409,-0.297409,1,concentric,0.506812,3.052,3.419,0.367,0.577044,3.052,0.016
3.255,159270,0.461503,0.456302,0.033022,0.094282,0.994998,0.998745,-0.047153,0.016665,0.002815,-0.015016,0.461503,0.461503,0.461503,-0.539956,-0.539956,1,concentric,0.553134,3.052,3.419,0.367,0.577044,3.052,0.017
3.272,159287,0.450659,0.430251,0.031439,0.092887,0.99518,0.998791,-0.046457,0.015864,0.002687,-0.015261,0.450659,0.450659,0.450659,-1.322,-1.322,1,concentric,0.599455,3.052,3.419,0.367,0.577044,3.052,0.017
3.296,159311,0.395752,0.39948,0.029177,0.090944,0.995429,0.998853,-0.045488,0.014718,0.002469,-0.015243,0.395752,0.395752,0.395752,-1.865759,-1.865759,1,concentric,0.66485,3.052,3.419,0.367,0.577044,3.052,0.024
3.312,159327,0.370402,0.363564,0.027839,0.089768,0.995574,0.99889,-0.044901,0.01404,0.00233,-0.012236,0.370402,0.370402,0.370402,-1.514615,-1.514615,1,concentric,0.708447,3.052,3.419,0.367,0.577044,3.052,0.016
3.329,159344,0.345914,0.317896,0.026288,0.088626,0.995718,0.998927,-0.044332,0.013256,0.002194,-0.012617,0.345914,0.345914,0.345914,-2.383605,-2.383605,1,concentric,0.754768,3.052,3.419,0.367,0.577044,3.052,0.017
3.349,159364,0.27605,0.261999,0.024313,0.087665,0.995853,0.998961,-0.043853,0.01226,0.002061,-0.011803,0.27605,0.27605,0.27605,-4.866418,-4.866418,1,concentric,0.809264,3.052,3.419,0.367,0.577044,3.052,0.02
3.366,159381,0.173478,0.18264,0.022776,0.087191,0.995931,0.99898,-0.043618,0.011484,0.00192,-0.008624,0.173478,0.173478,0.173478,-4.470981,-4.470981,1,concentric,0.855586,3.052,3.419,0.367,0.577044,3.052,0.017
3.398,159413,0.124535,0.10096,0.01947,0.087318,0.99599,0.998995,-0.043686,0.009822,0.001772,-0.010363,0.124535,0.124535,0.124535,-3.989196,-3.989196,1,concentric,0.942779,3.052,3.419,0.367,0.577044,3.052,0.032
3.419,159434,0.006864,-0.010022,0.017186,0.087936,0.995978,0.998992,-0.043997,0.008678,0.001746,-0.012446,0.006864,0.006864,0.006864,-5.101078,-5.101078,1,concentric,1.0,3.052,3.419,0.367,0.577044,3.052,0.021
