time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
9.427,377618,-0.05138,-0.03871,0.029969,-0.997988,0.055878,0.726589,0.686831,0.017998,0.002776,-0.003915,0.05138,-0.05138,0.05138,1.385938,1.385938,1,concentric,0.0,9.427,9.95,0.523,0.526607,9.659,0.016
9.443,377634,-0.0552,-0.051874,0.029839,-0.998021,0.055353,0.726407,0.687031,0.017669,0.003034,-0.003743,0.0552,-0.0552,0.0552,0.42142,0.42142,1,concentric,0.030593,9.427,9.95,0.523,0.526607,9.659,0.016
9.459,377650,-0.064865,-0.060356,0.029708,-0.998057,0.054777,0.726208,0.687248,0.017375,0.003254,-0.003344,0.064865,-0.064865,0.064865,0.120114,0.120114,1,concentric,0.061185,9.427,9.95,0.523,0.526607,9.659,0.016
9.476,377667,-0.058166,-0.052096,0.02955,-0.998099,0.054093,0.725972,0.687503,0.017112,0.003422,-0.002887,0.058166,-0.058166,0.058166,0.932439,0.932439,1,concentric,0.09369,9.427,9.95,0.523,0.526607,9.659,0.017
9.497,377688,-0.112158,-0.135238,0.029285,-0.998161,0.053071,0.725619,0.687879,0.016932,0.003426,-0.002511,0.112158,-0.112158,0.112158,3.123087,3.123087,1,concentric,0.133843,9.427,9.95,0.523,0.526607,9.659,0.021
9.563,377754,-0.432788,-0.401586,0.028627,-0.998257,0.051609,0.725114,0.688427,0.016245,0.00368,-0.000875,0.432788,-0.432788,0.432788,2.582601,2.582601,1,concentric,0.260038,9.427,9.95,0.523,0.526607,9.659,0.066
9.614,377805,-0.474828,-0.475079,0.02802,-0.998304,0.051022,0.72491,0.688659,0.015431,0.0041,-0.001247,0.474828,-0.474828,0.474828,0.997672,0.997672,1,concentric,0.357553,9.427,9.95,0.523,0.526607,9.659,0.051
9.659,377850,-0.526607,-0.489946,0.027687,-0.998306,0.051171,0.724956,0.688626,0.014451,0.004889,-0.00303,0.526607,-0.526607,0.526607,-1.964147,-1.964147,1,concentric,0.443595,9.427,9.95,0.523,0.526607,9.659,0.045
9.676,377867,-0.473213,-0.460132,0.027635,-0.998296,0.051389,0.725028,0.688556,0.014001,0.005325,-0.005533,0.473213,-0.473213,0.473213,-4.77941,-4.77941,1,concentric,0.476099,9.427,9.95,0.523,0.526607,9.659,0.017
9.692,377883,-0.372067,-0.362275,0.027603,-0.998286,0.051611,0.725102,0.688484,0.013583,0.005741,-0.005568,0.372067,-0.372067,0.372067,-5.315437,-5.315437,1,concentric,0.506692,9.427,9.95,0.523,0.526607,9.659,0.016
9.711,377902,-0.293775,-0.308868,0.027544,-0.99828,0.051753,0.725148,0.688439,0.013226,0.006073,-0.002649,0.293775,-0.293775,0.293775,-1.502934,-1.502934,1,concentric,0.543021,9.427,9.95,0.523,0.526607,9.659,0.019
9.728,377919,-0.308042,-0.308255,0.027454,-0.998281,0.05179,0.725159,0.688431,0.012956,0.006292,-0.001617,0.308042,-0.308042,0.308042,0.219938,0.219938,1,concentric,0.575526,9.427,9.95,0.523,0.526607,9.659,0.017
9.744,377935,-0.302235,-0.281756,0.027369,-0.998281,0.051825,0.725169,0.688423,0.012691,0.00651,-0.001793,0.302235,-0.302235,0.302235,-1.618927,-1.618927,1,concentric,0.606119,9.427,9.95,0.523,0.526607,9.659,0.016
9.776,377967,-0.170044,-0.21521,0.027302,-0.998274,0.051996,0.725224,0.688369,0.012266,0.006908,-0.00133,0.170044,-0.170044,0.170044,-2.941992,-2.941992,1,concentric,0.667304,9.427,9.95,0.523,0.526607,9.659,0.032
9.855,378046,-0.169514,-0.172424,0.027394,-0.99821,0.053171,0.725625,0.687948,0.011887,0.007371,-0.000446,0.169514,-0.169514,0.169514,-0.596579,-0.596579,1,concentric,0.818356,9.427,9.95,0.523,0.526607,9.659,0.079
9.9,378091,-0.127548,-0.130184,0.02769,-0.998092,0.05518,0.726307,0.687228,0.011292,0.008213,-0.004018,0.127548,-0.127548,0.127548,-1.101045,-1.101045,1,concentric,0.904398,9.427,9.95,0.523,0.526607,9.659,0.045
9.917,378108,-0.107748,-0.084982,0.027874,-0.99804,0.056029,0.726595,0.686924,0.011018,0.008635,-0.005852,0.107748,-0.107748,0.107748,-2.042476,-2.042476,1,concentric,0.936902,9.427,9.95,0.523,0.526607,9.659,0.017
9.934,378125,-0.058104,-0.040481,0.02802,-0.997994,0.05677,0.726844,0.686659,0.010675,0.009103,-0.006449,0.058104,-0.058104,0.058104,-3.392568,-3.392568,1,concentric,0.969407,9.427,9.95,0.523,0.526607,9.659,0.017
9.95,378141,0.00329,-0.000947,0.027653,-0.997957,0.057596,0.727124,0.686366,0.010163,0.009378,-0.005989,-0.00329,0.00329,-0.00329,-2.800741,-2.800741,1,concentric,1.0,9.427,9.95,0.523,0.526607,9.659,0.016
