time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
4.789,398721,0.207207,0.218733,0.016347,-0.365039,0.930849,0.982453,0.185862,0.005569,0.014538,-0.031563,0.207207,0.207207,0.207207,10.280662,10.280662,1,concentric,0.0,4.789,5.195,0.406,0.753727,4.856,0.064
4.806,398738,0.415308,0.413806,0.017808,-0.367336,0.929918,0.98221,0.187089,0.006227,0.0149,-0.02948,0.415308,0.415308,0.415308,11.294324,11.294324,1,concentric,0.041872,4.789,5.195,0.406,0.753727,4.856,0.017
4.839,398771,0.727363,0.694671,0.018485,-0.372477,0.927857,0.981684,0.189813,0.006514,0.015001,-0.028601,0.727363,0.727363,0.727363,4.238651,4.238651,1,concentric,0.123153,4.789,5.195,0.406,0.753727,4.856,0.033
4.856,398788,0.753727,0.749751,0.018581,-0.375767,0.926528,0.981344,0.191555,0.006524,0.015079,-0.043518,0.753727,0.753727,0.753727,-0.75469,-0.75469,1,concentric,0.165025,4.789,5.195,0.406,0.753727,4.856,0.017
4.873,398805,0.701704,0.700763,0.018613,-0.378718,0.925325,0.981038,0.193119,0.006526,0.015036,-0.035169,0.701704,0.701704,0.701704,-4.54667,-4.54667,1,concentric,0.206897,4.789,5.195,0.406,0.753727,4.856,0.017
4.889,398821,0.606573,0.619111,0.018528,-0.381102,0.924347,0.980791,0.194382,0.00649,0.014913,-0.026103,0.606573,0.606573,0.606573,-6.237039,-6.237039,1,concentric,0.246305,4.789,5.195,0.406,0.753727,4.856,0.016
4.909,398841,0.474549,0.496561,0.018692,-0.383067,0.923532,0.980584,0.195425,0.006566,0.014874,-0.011379,0.474549,0.474549,0.474549,-4.049692,-4.049692,1,concentric,0.295567,4.789,5.195,0.406,0.753727,4.856,0.02
4.931,398863,0.447202,0.447052,0.019095,-0.384872,0.922772,0.98039,0.196388,0.006756,0.014891,-0.008234,0.447202,0.447202,0.447202,0.836988,0.836988,1,concentric,0.349754,4.789,5.195,0.406,0.753727,4.856,0.022
4.947,398879,0.484798,0.503259,0.019605,-0.385407,0.922539,0.980329,0.196677,0.006989,0.015004,-0.002406,0.484798,0.484798,0.484798,3.140758,3.140758,1,concentric,0.389163,4.789,5.195,0.406,0.753727,4.856,0.016
4.966,398898,0.56232,0.538697,0.020071,-0.38541,0.922527,0.980324,0.196684,0.007209,0.01509,-0.000589,0.56232,0.56232,0.56232,1.442598,1.442598,1,concentric,0.435961,4.789,5.195,0.406,0.753727,4.856,0.019
4.983,398915,0.546726,0.535088,0.020335,-0.385151,0.92263,0.98035,0.196549,0.007337,0.015135,-0.000495,0.546726,0.546726,0.546726,-0.844719,-0.844719,1,concentric,0.477833,4.789,5.195,0.406,0.753727,4.856,0.017
5.016,398948,0.523498,0.532927,0.020947,-0.383215,0.923421,0.980552,0.195526,0.007666,0.015122,-0.004192,0.523498,0.523498,0.523498,-0.680683,-0.680683,1,concentric,0.559113,4.789,5.195,0.406,0.753727,4.856,0.033
5.033,398965,0.512129,0.495044,0.021179,-0.381835,0.923988,0.980697,0.194795,0.007807,0.015057,-0.00767,0.512129,0.512129,0.512129,-2.70744,-2.70744,1,concentric,0.600985,4.789,5.195,0.406,0.753727,4.856,0.017
5.049,398981,0.43811,0.460591,0.021345,-0.380474,0.924545,0.98084,0.194074,0.007915,0.01499,-0.008382,0.43811,0.43811,0.43811,-3.029102,-3.029102,1,concentric,0.640394,4.789,5.195,0.406,0.753727,4.856,0.016
5.069,399001,0.417456,0.425284,0.021713,-0.378432,0.925375,0.981053,0.192994,0.00813,0.014925,-0.012177,0.417456,0.417456,0.417456,-0.392067,-0.392067,1,concentric,0.689655,4.789,5.195,0.406,0.753727,4.856,0.02
5.089,399021,0.422427,0.395434,0.022062,-0.376447,0.926176,0.981258,0.191945,0.008331,0.014879,-0.011494,0.422427,0.422427,0.422427,-0.185028,-0.185028,1,concentric,0.738916,4.789,5.195,0.406,0.753727,4.856,0.02
5.111,399043,0.407864,0.378527,0.022118,-0.374229,0.927073,0.981488,0.19077,0.008405,0.014728,-0.011721,0.407864,0.407864,0.407864,-2.96852,-2.96852,1,concentric,0.793103,4.789,5.195,0.406,0.753727,4.856,0.022
5.127,399059,0.333528,0.321519,0.021889,-0.372733,0.92768,0.981646,0.189975,0.008338,0.014524,-0.010556,0.333528,0.333528,0.333528,-5.169885,-5.169885,1,concentric,0.832512,4.789,5.195,0.406,0.753727,4.856,0.016
5.145,399077,0.229861,0.224793,0.021458,-0.370966,0.928398,0.981833,0.189034,0.008185,0.014242,-0.012184,0.229861,0.229861,0.229861,-5.914677,-5.914677,1,concentric,0.876847,4.789,5.195,0.406,0.753727,4.856,0.018
5.162,399094,0.126816,0.113288,0.020941,-0.369266,0.929088,0.982013,0.188128,0.007992,0.013938,-0.013122,0.126816,0.126816,0.126816,-5.708953,-5.708953,1,concentric,0.918719,4.789,5.195,0.406,0.753727,4.856,0.017
5.195,399127,-0.038998,-0.024758,0.019157,-0.365492,0.930617,0.982414,0.186114,0.007264,0.013123,-0.019375,-0.038998,-0.038998,-0.038998,-5.48217,-5.48217,1,concentric,1.0,4.789,5.195,0.406,0.753727,4.856,0.033
