time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
23.998,417930,0.022357,0.034612,0.006987,-0.402174,0.915537,0.97684,0.205308,-0.008948,0.059591,-0.00061,0.022357,0.022357,0.022357,0.417939,0.417939,4,concentric,0.0,23.998,24.55,0.552,0.545889,24.125,0.016
24.065,417997,0.053304,0.084073,0.011355,-0.397714,0.917439,0.977217,0.203057,-0.006941,0.061367,-0.011003,0.053304,0.053304,0.053304,6.213113,6.213113,4,concentric,0.121377,23.998,24.55,0.552,0.545889,24.125,0.067
24.108,418040,0.479185,0.451452,0.013192,-0.395588,0.918333,0.977396,0.201981,-0.006096,0.062155,-0.005437,0.479185,0.479185,0.479185,5.618225,5.618225,4,concentric,0.199275,23.998,24.55,0.552,0.545889,24.125,0.043
24.125,418057,0.545889,0.549905,0.013709,-0.395359,0.918425,0.977405,0.201874,-0.005873,0.062387,-0.001543,0.545889,0.545889,0.545889,1.806916,1.806916,4,concentric,0.230072,23.998,24.55,0.552,0.545889,24.125,0.017
24.156,418088,0.482238,0.486619,0.013926,-0.396463,0.917945,0.977268,0.202468,-0.005846,0.062607,-0.001596,0.482238,0.482238,0.482238,-2.013737,-2.013737,4,concentric,0.286232,23.998,24.55,0.552,0.545889,24.125,0.031
24.172,418104,0.450345,0.462256,0.014066,-0.397234,0.917609,0.977176,0.202883,-0.00582,0.062696,-0.002861,0.450345,0.450345,0.450345,-2.759687,-2.759687,4,concentric,0.315217,23.998,24.55,0.552,0.545889,24.125,0.016
24.189,418121,0.389588,0.406291,0.014274,-0.39808,0.91724,0.977077,0.20334,-0.00576,0.062779,-0.003127,0.389588,0.389588,0.389588,-1.803711,-1.803711,4,concentric,0.346014,23.998,24.55,0.552,0.545889,24.125,0.017
24.222,418154,0.443463,0.418226,0.015323,-0.400292,0.91626,0.976806,0.204552,-0.005367,0.063084,-0.006551,0.443463,0.443463,0.443463,2.167437,2.167437,4,concentric,0.405797,23.998,24.55,0.552,0.545889,24.125,0.033
24.243,418175,0.496127,0.469598,0.015842,-0.402252,0.915392,0.976577,0.205614,-0.005193,0.063192,-0.011077,0.496127,0.496127,0.496127,0.675569,0.675569,4,concentric,0.443841,23.998,24.55,0.552,0.545889,24.125,0.021
24.259,418191,0.4846,0.471223,0.016137,-0.404134,0.914557,0.976361,0.206628,-0.005116,0.063225,-0.016888,0.4846,0.4846,0.4846,-1.955152,-1.955152,4,concentric,0.472826,23.998,24.55,0.552,0.545889,24.125,0.016
24.276,418208,0.42906,0.422377,0.016426,-0.406352,0.913569,0.976107,0.207822,-0.005052,0.063247,-0.020665,0.42906,0.42906,0.42906,-2.669576,-2.669576,4,concentric,0.503623,23.998,24.55,0.552,0.545889,24.125,0.017
24.292,418224,0.395345,0.379744,0.016782,-0.408787,0.912476,0.975823,0.209135,-0.004969,0.063306,-0.028303,0.395345,0.395345,0.395345,-2.866348,-2.866348,4,concentric,0.532609,23.998,24.55,0.552,0.545889,24.125,0.016
24.309,418241,0.332905,0.322401,0.017323,-0.411501,0.911245,0.975501,0.210605,-0.004811,0.06341,-0.03177,0.332905,0.332905,0.332905,-3.363219,-3.363219,4,concentric,0.563406,23.998,24.55,0.552,0.545889,24.125,0.017
24.342,418274,0.241757,0.268299,0.018685,-0.41643,0.908976,0.974906,0.213291,-0.004335,0.063613,-0.028792,0.241757,0.241757,0.241757,-1.868874,-1.868874,4,concentric,0.623188,23.998,24.55,0.552,0.545889,24.125,0.033
24.358,418290,0.218784,0.237203,0.019662,-0.418744,0.907891,0.974616,0.214566,-0.003956,0.063788,-0.029414,0.218784,0.218784,0.218784,0.812678,0.812678,4,concentric,0.652174,23.998,24.55,0.552,0.545889,24.125,0.016
24.375,418307,0.273213,0.258931,0.020721,-0.421214,0.906725,0.974304,0.215929,-0.003547,0.063984,-0.029887,0.273213,0.273213,0.273213,1.767431,1.767431,4,concentric,0.682971,23.998,24.55,0.552,0.545889,24.125,0.017
24.396,418328,0.273122,0.258428,0.021675,-0.424304,0.90526,0.973918,0.217622,-0.003203,0.064133,-0.028643,0.273122,0.273122,0.273122,-2.477396,-2.477396,4,concentric,0.721014,23.998,24.55,0.552,0.545889,24.125,0.021
24.413,418345,0.196972,0.213852,0.022274,-0.42674,0.9041,0.973616,0.218954,-0.002999,0.0642,-0.026458,0.196972,0.196972,0.196972,-3.792238,-3.792238,4,concentric,0.751812,23.998,24.55,0.552,0.545889,24.125,0.017
24.43,418362,0.144186,0.166933,0.022877,-0.429074,0.90298,0.973323,0.220232,-0.002792,0.064278,-0.024471,0.144186,0.144186,0.144186,-1.49903,-1.49903,4,concentric,0.782609,23.998,24.55,0.552,0.545889,24.125,0.017
24.446,418378,0.144386,0.145342,0.023508,-0.431104,0.901996,0.973064,0.221349,-0.002565,0.064376,-0.021498,0.144386,0.144386,0.144386,0.433686,0.433686,4,concentric,0.811594,23.998,24.55,0.552,0.545889,24.125,0.016
24.467,418399,0.165102,0.166145,0.024208,-0.433497,0.90083,0.972761,0.222665,-0.002305,0.06443,-0.017171,0.165102,0.165102,0.165102,0.576488,0.576488,4,concentric,0.849638,23.998,24.55,0.552,0.545889,24.125,0.021
24.484,418416,0.16926,0.153664,0.024631,-0.43545,0.899876,0.972517,0.223735,-0.002155,0.064414,-0.016962,0.16926,0.16926,0.16926,-0.875231,-0.875231,4,concentric,0.880435,23.998,24.55,0.552,0.545889,24.125,0.017
24.501,418433,0.135344,0.119529,0.024813,-0.437513,0.89887,0.972266,0.224857,-0.002108,0.06429,-0.018496,0.135344,0.135344,0.135344,-2.370284,-2.370284,4,concentric,0.911232,23.998,24.55,0.552,0.545889,24.125,0.017
24.522,418454,0.075835,0.091065,0.024974,-0.440248,0.897529,0.971932,0.226343,-0.002086,0.064126,-0.021277,0.075835,0.075835,0.075835,-2.371164,-2.371164,4,concentric,0.949275,23.998,24.55,0.552,0.545889,24.125,0.021
24.538,418470,0.043536,0.057255,0.025066,-0.442364,0.896485,0.971673,0.227493,-0.002083,0.06399,-0.02198,0.043536,0.043536,0.043536,-2.01407,-2.01407,4,concentric,0.978261,23.998,24.55,0.552,0.545889,24.125,0.016
24.55,418482,0.019409,0.00704,0.025021,-0.443964,0.895695,0.971478,0.228359,-0.002132,0.063855,-0.022432,0.019409,0.019409,0.019409,-2.8589,-2.8589,4,concentric,1.0,23.998,24.55,0.552,0.545889,24.125,0.012
