time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
32.293,400484,-0.033895,-0.027884,-0.000156,-0.994657,0.103236,0.741737,0.668731,-0.034369,0.038005,-0.011647,0.033895,-0.033895,0.033895,2.896298,2.896298,4,concentric,0.0,32.293,32.862,0.569,0.515351,32.505,0.017
32.328,400519,-0.139512,-0.104015,-0.001442,-0.99434,0.106235,0.742749,0.66757,-0.035099,0.037972,-0.008553,0.139512,-0.139512,0.139512,1.170998,1.170998,4,concentric,0.061511,32.293,32.862,0.569,0.515351,32.505,0.035
32.344,400535,-0.144741,-0.127388,-0.002022,-0.994201,0.107521,0.743182,0.667071,-0.035443,0.037972,-0.007728,0.144741,-0.144741,0.144741,1.665169,1.665169,4,concentric,0.089631,32.293,32.862,0.569,0.515351,32.505,0.016
32.36,400551,-0.192797,-0.184944,-0.002583,-0.99408,0.108621,0.743552,0.666641,-0.035766,0.037955,-0.005738,0.192797,-0.192797,0.192797,3.643167,3.643167,4,concentric,0.11775,32.293,32.862,0.569,0.515351,32.505,0.016
32.377,400568,-0.266285,-0.269339,-0.003143,-0.993969,0.109613,0.743885,0.66625,-0.036124,0.037974,-0.00452,0.266285,-0.266285,0.266285,3.978854,3.978854,4,concentric,0.147627,32.293,32.862,0.569,0.515351,32.505,0.017
32.394,400585,-0.328078,-0.326255,-0.003696,-0.993866,0.110532,0.744192,0.665885,-0.036491,0.038008,-0.004127,0.328078,-0.328078,0.328078,2.377005,2.377005,4,concentric,0.177504,32.293,32.862,0.569,0.515351,32.505,0.017
32.415,400606,-0.345364,-0.36758,-0.004358,-0.993759,0.111468,0.744502,0.665507,-0.036965,0.038078,-0.003307,0.345364,-0.345364,0.345364,2.713094,2.713094,4,concentric,0.214411,32.293,32.862,0.569,0.515351,32.505,0.021
32.431,400622,-0.411813,-0.411913,-0.004837,-0.993685,0.112098,0.744712,0.665252,-0.037294,0.038113,-0.002578,0.411813,-0.411813,0.411813,3.221475,3.221475,4,concentric,0.242531,32.293,32.862,0.569,0.515351,32.505,0.016
32.452,400643,-0.453787,-0.452361,-0.005373,-0.993593,0.11289,0.744974,0.664931,-0.0377,0.038198,-0.002489,0.453787,-0.453787,0.453787,1.738969,1.738969,4,concentric,0.279438,32.293,32.862,0.569,0.515351,32.505,0.021
32.472,400663,-0.483618,-0.484887,-0.005747,-0.993513,0.113574,0.745199,0.664657,-0.037995,0.038276,-0.001866,0.483618,-0.483618,0.483618,1.345144,1.345144,4,concentric,0.314587,32.293,32.862,0.569,0.515351,32.505,0.02
