tMillis,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_cal,ay_cal,az_cal,gx_cal,gy_cal,gz_cal,acc_mag,gyro_mag,acc_mag_mean,acc_mag_std,gyro_mag_mean,gyro_mag_std,acc_grav_error,is_still_method1,is_still_method2,is_still_combined,roll_simple,pitch_simple,az_vertical,az_vertical_corrected,vel_integrated,vel_integrated_reset,vel_integrated_corrected,is_rolling,pull_start_acc_0.5,pull_start_acc_1.0,pull_start_acc_1.5,pull_start_acc_2.0
674079.0,0.0675048828125,0.6202392578125,0.896484375,37.2314453125,-2.868652105331421,-2.38037109375,0.5196234375000001,-1.216526220703125,2.0943966796875,0.6357072058865717,-0.046829020680831016,-0.046850329678211525,2.4771842915583755,0.6391490922977164,2.582338150593496,0.5224032106382535,0.5643213985109358,0.26086839674982676,0.7474837623284022,0,0,0,165.306699911709,2.3833201350425193,2.0943966796875,-7.7156033203125,-124.69450830732396,-64.64886343433352,-573.5850148716102,1,0,0,0,0
674112.0,0.0728759765625,0.5579833984375,0.9007568359375,33.203125,-4.638671875,-2.38037109375,0.5723138671875001,-1.8272562011718751,2.136309521484375,0.5653997531084799,-0.07772169348693937,-0.046850329678211525,2.868837178872475,0.5726364429937767,2.6398928513482116,0.5376701828321655,0.5292718613474959,0.2728305983873127,0.7075599206042329,0,0,0,165.306699911709,2.3833201350425193,2.136309521484375,-7.673690478515626,-124.62401009311498,-64.57836522012454,-573.8382466574012,1,0,0,0,0
674129.0,0.06298828125,0.5550537109375,0.896484375,29.052732467651367,-5.126952648162842,-2.0751953125,0.47531557617187503,-1.8559964355468752,2.0943966796875,0.492961738168811,-0.08624380065281453,-0.041524007498053045,2.8385110740668833,0.5021688079203608,2.7225106469968483,0.5219348028046772,0.4939288351019503,0.27889350942264524,0.7106512666598489,0,0,0,165.306699911709,2.3833201350425193,2.0943966796875,-7.7156033203125,-124.58840534956029,-64.54276047656985,-573.9694119138466,0,0,0,0,0
674145.0,0.058349609375,0.546875,0.8927001953125,27.587888717651367,-5.615233898162842,-1.9531248807907104,0.42981020507812506,-1.9362295898437503,2.057273876953125,0.46739539170405026,-0.0947659161410681,-0.03939347654539505,2.8576384728949775,0.47852991238016784,2.779713605182743,0.5413636680061367,0.4589088409740901,0.27867583133655754,0.7087014808465874,0,0,0,165.306699911709,2.3833201350425193,2.057273876953125,-7.752726123046875,-124.55548896752904,-64.50984409453861,-574.0934555318153,0,0,0,0,0
674178.0,0.0435791015625,0.505859375,0.8587646484375,22.277830123901367,-6.042479991912842,-1.7700194120407104,0.28491152343750004,-2.3385928710937502,1.724366162109375,0.3747173857692928,-0.10222276719328996,-0.03619768323729997,2.9195256213888245,0.3900934318880215,2.8513483094525713,0.5636914556942061,0.4250655896882896,0.27238750340138895,0.7023929030184685,0,0,0,165.306699911709,2.3833201350425193,1.724366162109375,-8.085633837890626,-124.49858488417944,-64.452940011189,-574.3602814484657,0,0,0,0,0
674231.0,0.0284423828125,0.4383544921875,0.78662109375,13.916014671325684,-6.774901866912842,-1.3427733182907104,0.1364203125,-3.0008157714843753,1.016637890625,0.22877617467770733,-0.1150059404256703,-0.0287408321850781,3.1712865522854305,0.25766439386932866,2.9433633089121867,0.5581951546093851,0.3922189386905786,0.2618154029246054,0.676729199563157,0,0,0,165.306699911709,2.3833201350425193,1.016637890625,-8.793362109375,-124.4447030759763,-64.39905820298587,-574.8263296402625,0,0,0,0,0
674247.0,0.024658203125,0.4156494140625,0.7662353515625,10.681151390075684,-6.652831554412842,-1.4648436307907104,0.09929750976562501,-3.2235525878906253,0.816653759765625,0.1723171595680275,-0.1128754115536069,-0.030871361057141493,3.32687160042003,0.20829571034591565,3.0528216039745453,0.5627582602121147,0.3617223028671171,0.245887878594976,0.6608693577553486,0,0,0,165.306699911709,2.3833201350425193,0.816653759765625,-8.993346240234375,-124.43163661582005,-64.38599174282962,-574.9702231801062,0,0,0,0,0
674268.0,0.0189208984375,0.40283203125,0.74267578125,6.896972179412842,-5.981444835662842,-1.8310545682907104,0.04301455078125,-3.34929111328125,0.585534375,0.10627077285644082,-0.10115750275725827,-0.037262947673331666,3.4003605275603217,0.1513765001474648,3.157708388945595,0.5811578032624731,0.3338715628540578,0.2268155796629755,0.653378131747164,0,0,0,165.306699911709,2.3833201350425193,0.585534375,-9.224465625,-124.41934039394505,-64.37369552095461,-575.1639369582313,0,0,0,0,0
674285.0,0.020263671875,0.4141845703125,0.764404296875,4.150390625,-5.737304210662842,-2.13623046875,0.056187158203125004,-3.2379227050781254,0.7986911132812501,0.058333881557392935,-0.09689644501313148,-0.042589271934084745,3.335447186696535,0.12085366720795103,3.2682943347934623,0.5930177247050925,0.30833748189552146,0.2059309651857048,0.6599951899391912,0,0,0,165.306699911709,2.3833201350425193,0.7986911132812501,-9.01130888671875,-124.40576264501927,-64.36011777202883,-575.3171292093054,0,0,0,0,0
674305.0,0.0233154296875,0.4227294921875,0.7747802734375,1.5258787870407104,-5.737304210662842,-2.01416015625,0.08612490234375,-3.1540970214843753,0.9004794433593751,0.012527508727435436,-0.09689644501313148,-0.04045874306202135,3.2812510948802953,0.10574861427582606,3.3862935789808533,0.5878507059958883,0.286384222914168,0.1841842212774103,0.6655197660672483,0,0,0,165.306699911709,2.3833201350425193,0.9004794433593751,-8.909520556640626,-124.38775305615208,-64.34210818316164,-575.4953196204383,0,0,0,0,0
674321.0,0.0216064453125,0.4119873046875,0.750732421875,-0.3662109076976776,-5.676269054412842,-1.8920897245407104,0.069359765625,-3.259477880859375,0.6645700195312501,-0.020495686188803867,-0.09583118057709979,-0.03832821210936336,3.3272601557075223,0.10522708855922501,3.5059510273994214,0.5959578209056731,0.26675646621395527,0.15977429694853665,0.6608297496730354,0,0,0,165.306699911709,2.3833201350425193,0.6645700195312501,-9.14542998046875,-124.37711993583957,-64.33147506284914,-575.6416465001258,0,0,0,0,0
