tMillis,roll_deg,pitch_deg,yaw_deg,skip_impact,full_reinit,gravity_update,zupt,rep_in_progress,acc_mag_g,gyro_mag,ekf_speed,acc_world_x,acc_world_y,acc_world_z,vel_world_x,vel_world_y,vel_world_z,vertical_acc,vertical_vel,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,rep_acc_count,rep_cooldown_count
627330.0,81.98435753949393,11.17760938548985,-5.926014664632918,False,False,False,False,False,0.07120570730148022,0.188102999929118,171.15388054153408,0.1472353477612966,0.5857298882680986,10.132933359220354,-19.430691800262966,23.331541816459858,185.68799156000182,10.132933359220354,185.68799156000182,0.02015270537658085,0.09578169403665554,0.1314370484187903,0.021011374915987754,0.0020240022686513924,0.0010863607476847713,0,0
627346.0,82.15888944922104,11.200495515677133,-5.922483351746558,False,False,False,False,False,0.11035660874973377,0.19131097005217998,171.31935270067373,0.1783097461043113,0.909444657349761,10.384099202379799,-19.427838844325297,23.346092930977452,185.8541371472399,10.384099202379799,185.8541371472399,0.01998657790055624,0.08783625970654292,0.11540639632112727,0.02231493243211009,0.00309477173843624,0.0010863607476847713,0,0
627366.0,82.39228028084479,11.226607192770558,-5.908831090005484,False,False,False,False,False,0.11092318472039976,0.20297730923734433,171.52635159438495,0.1202178985985986,0.9246496720120291,10.411793065519472,-19.425434486353325,23.364585924417693,186.06237300855028,10.411793065519472,186.06237300855028,0.02210338339783328,0.08252606207507383,0.10210545791731875,0.021199558860052505,0.0030597389368319733,0.0011473248257264422,0,0
627383.0,82.59466829811102,11.247243476519966,-5.892668112788781,False,False,False,False,False,0.08327971165365271,0.2062885012953151,171.69955529574267,0.06679800476820652,0.7010866752490222,10.240985779168922,-19.424298920272264,23.376504397896927,186.23646976679615,10.240985779168922,186.23646976679615,0.024042524973277826,0.08670012053501724,0.10379474180028746,0.01949200403026777,0.0033023195214066355,0.0015400348212948052,0,0
627433.0,83.08310258716905,11.311809494473037,-5.860964678754078,False,False,False,False,False,0.07026608762107399,0.1701806654054891,172.2054927213652,0.11650899690695743,0.568801339190799,10.140142095099547,-19.418473470426918,23.404944464856467,186.74347687155114,10.140142095099547,186.74347687155114,0.024662887332579566,0.09066153386249612,0.10709011872545167,0.0216791078935999,0.003274713440197452,0.0015656124741631632,0,0
627506.0,83.70755434382059,11.39677820562062,-5.812688887996943,False,False,False,False,False,0.06228833386320263,0.14885449844406848,172.9410810422284,0.10615566242974131,0.5028821215706928,10.124845187557643,-19.410724107069548,23.441654859731127,187.48259057024285,10.124845187557643,187.48259057024285,0.02666147317086088,0.09958386377880978,0.12191190516486036,0.025600941337323758,0.0032729803291485842,0.001730849719435007,0,0
627522.0,83.8413307613586,11.415226792596044,-5.802970705512575,False,False,False,False,False,0.08031998209852421,0.14560338829897196,173.10415662011994,0.11868478409515429,0.6497529910582781,10.229227706677344,-19.408825150524027,23.45205090758806,187.6462582135497,10.229227706677344,187.6462582135497,0.026486631336984378,0.09830643509147635,0.12022813170937985,0.027399461747848037,0.0032468726487020036,0.0017825282260640674,0,0
627555.0,84.1136584146907,11.45341837726289,-5.780743946296353,False,False,False,False,False,0.043154316211772924,0.14359598387321645,173.433412418711,0.059565806571982245,0.34814632946018703,10.041223387403221,-19.40685947890715,23.463539736460245,187.977618585334,10.041223387403221,187.977618585334,0.026192634832766185,0.12251432073122932,0.1518813017849049,0.02748320403510779,0.003176203194125045,0.0018481646004593001,0,0
627572.0,84.24111985628234,11.471810828218626,-5.771221756905174,False,False,False,False,False,0.05029650368720819,0.13064474536421466,173.60384164494516,0.0732905358961042,0.3978516795418025,10.05008738982175,-19.405613539796917,23.470303215012457,188.14847007096097,10.05008738982175,188.14847007096097,0.02627135559582501,0.1294809337636618,0.16174633676875178,0.027391180332844524,0.0032028869736074154,0.0019671369186993345,0,0
627588.0,84.36129137792946,11.489199321758539,-5.7612294024179675,False,False,False,False,False,0.07167724505428752,0.13074239227444726,173.76631206231812,0.1094119111389325,0.5702005702814832,10.207993824108366,-19.403862949218695,23.47942642413696,188.3117979721467,10.207993824108366,188.3117979721467,0.025875356964572258,0.12954022798243398,0.16152311626107171,0.028059155198656573,0.0029674831260554035,0.002101029742914511,0,0
627605.0,84.49023284828462,11.507752719957251,-5.749517047650111,False,False,False,False,False,0.061726265751470936,0.13189830676103584,173.93783200712576,0.09028580706080293,0.4964431801597803,10.149775455843477,-19.40232809049866,23.487865958199677,188.48434415489604,10.149775455843477,188.48434415489604,0.02242255095549557,0.13176531403514033,0.16443448707749325,0.02866353336933208,0.0027449942485859528,0.0019174758678236047,0,0
627625.0,84.63367035662299,11.528448564480124,-5.734325691368987,False,False,False,False,False,0.046331307879208125,0.12452907744965339,174.13788033074775,0.05236660424730141,0.37082884539638844,10.047916952926368,-19.401280758413712,23.495282535107606,188.68530249395457,10.047916952926368,188.68530249395457,0.02243054388019798,0.11670382399891706,0.1482403428461251,0.028425599102886053,0.0019085779934702443,0.0013003208689027093,0,0
627647.0,84.78314028946605,11.551048227581395,-5.718919210296864,False,False,False,False,False,0.04389833480787646,0.11811863281865598,174.35765943942417,0.05377283100640827,0.3498809435152182,10.039558511002317,-19.400097756131572,23.50297991586494,188.90617278119663,10.039558511002317,188.90617278119663,0.01771181311375891,0.08551460753061564,0.10952344709082443,0.024810371849086372,0.00189365534074621,0.0011910017563506235,0,0
627663.0,84.88480421789278,11.568344918129,-5.708759438455148,False,False,False,False,False,0.05372567580105578,0.11083613750651398,174.51834555476842,0.08559719903108019,0.4275038930140411,10.08027750061593,-19.398728200947076,23.509819978153164,189.0674572212065,10.08027750061593,189.0674572212065,0.007835228703466519,0.07665521826090577,0.09270620675745624,0.016317679238685476,0.0008522114821813109,0.0011862281840351165,0,0
627680.0,84.9917948218131,11.586703363627995,-5.697929853525703,False,False,False,False,False,0.06025952260753482,0.10979182095977616,174.68970212982617,0.0988035890020319,0.4823513832141405,10.134402754334445,-19.39704853993404,23.518019951667803,189.23974206803018,10.134402754334445,189.23974206803018,0.007582232403334703,0.07280829831113603,0.08797614521869046,0.013279962771148277,0.0008588435767895616,0.0007456850392747688,0,0
